discente,ano,turma,lacuna_1,classificacao_1,correcao_1,lacuna_2,classificacao_2,correcao_2,lacuna_3,classificacao_3,correcao_3,lacuna_4,classificacao_4,correcao_4,lacuna_5,classificacao_5,correcao_5,lacuna_6,classificacao_6,correcao_6,lacuna_7,classificacao_7,correcao_7,lacuna_8,classificacao_8,correcao_8,lacuna_9,classificacao_9,correcao_9,lacuna_10,classificacao_10,correcao_10,lacuna_11,classificacao_11,correcao_11,lacuna_12,classificacao_12,correcao_12,lacuna_13,classificacao_13,correcao_13,lacuna_14,classificacao_14,correcao_14,lacuna_15,classificacao_15,correcao_15,lacuna_16,classificacao_16,correcao_16,lacuna_17,classificacao_17,correcao_17,lacuna_18,classificacao_18,correcao_18,lacuna_19,classificacao_19,correcao_19,lacuna_20,classificacao_20,correcao_20,lacuna_21,classificacao_21,correcao_21,lacuna_22,classificacao_22,correcao_22,lacuna_23,classificacao_23,correcao_23,lacuna_24,classificacao_24,correcao_24,lacuna_25,classificacao_25,correcao_25,lacuna_26,classificacao_26,correcao_26,lacuna_27,classificacao_27,correcao_27,lacuna_28,classificacao_28,correcao_28,lacuna_29,classificacao_29,correcao_29,lacuna_30,classificacao_30,correcao_30,lacuna_31,classificacao_31,correcao_31,lacuna_32,classificacao_32,correcao_32,lacuna_33,classificacao_33,correcao_33,lacuna_34,classificacao_34,correcao_34,lacuna_35,classificacao_35,correcao_35,texto,tempo_inicial,tempo_final
EST_111,8,A,eram,verbo,mesma classe e mesmo campo semântico,jogaram,verbo,mesma classe e mesmo campo semântico,deram,verbo,mesma classe e mesmo campo semântico,machucassem,verbo,mesma classe e mesmo campo semântico,ocorreu,verbo,mesma classe e mesmo campo semântico,invadiram,verbo,mesma classe e campo semântico diferente,entupiram,verbo,mesma classe e campo semântico diferente,viveram,verbo,mesma classe e campo semântico diferente,aumentava,verbo,mesma classe e mesmo campo semântico,ficaram,verbo,mesma classe e mesmo campo semântico,perceberam,verbo,mesma classe e mesmo campo semântico,era,verbo,mesma classe e mesmo campo semântico,estavam,verbo,mesma classe e campo semântico diferente,mataram,verbo,mesma classe e mesmo campo semântico,era,verbo,mesma classe e mesmo campo semântico,tinham,verbo,mesma classe e campo semântico diferente,matavam,verbo,mesma classe e mesmo campo semântico,mudou,verbo,mesma classe e mesmo campo semântico,os,artigo definido,-,habitavam,verbo,mesma classe e mesmo campo semântico,sobreviveram,verbo,mesma classe e mesmo campo semântico,comeram,verbo ,mesma classe e mesmo campo semântico,começaram,verbo ,mesma classe e mesmo campo semântico,fazer,verbo,mesma classe e mesmo campo semântico,criaram,verbo,mesma classe e mesmo campo semântico,venderam,verbo,mesma classe e mesmo campo semântico,tinham,verbo,mesma classe e campo semântico diferente,começaram,verbo,mesma classe e mesmo campo semântico,atacar,substantivo,mesma classe e mesmo campo semântico,com,preposição,-,influenciassem,verbo,mesma classe e campo semântico diferente,pegaram,verbo,mesma classe e mesmo campo semântico,jogou,verbo,mesma classe e mesmo campo semântico,apertou,verbo,mesma classe e mesmo campo semântico,era,verbo,mesma classe e mesmo campo semântico,O dia em que os jacarés invadiram a cidade,08:15,08:26
EST_112,8,B,são,verbo,mesma classe e mesmo campo semântico,viu,verbo,mesma classe e campo semântico diferente,deu,verbo,mesma classe e mesmo campo semântico,machucassem,verbo,mesma classe e mesmo campo semântico,foi,verbo,mesma classe e mesmo campo semântico,-,-,-,pararam,verbo,mesma classe e mesmo campo semântico,esconderam,verbo,mesma classe e campo semântico diferente,mudava,verbo,mesma classe e mesmo campo semântico,ficaram,verbo,mesma classe e mesmo campo semântico,apareceu,verbo,mesma classe e mesmo campo semântico,era,verbo,mesma classe e mesmo campo semântico,foram,verbo,mesma classe e campo semântico diferente,atacou,verbo,mesma classe e mesmo campo semântico,é,verbo,mesma classe e mesmo campo semântico,mudou,verbo,mesma classe e campo semântico diferente,eram,verbo,mesma classe e campo semântico diferente,mudasse,verbo,mesma classe e mesmo campo semântico,os,artigo definido,-,queriam,verbo,mesma classe e campo semântico diferente,morreram,verbo,mesma classe e campo semântico diferente,fugiram,verbo ,mesma classe e campo semântico diferente,achou,verbo ,mesma classe e campo semântico diferente,melhor,adjetivo,-,foram,verbo,mesma classe e campo semântico diferente,confundiram,verbo,mesma classe e campo semântico diferente,pegaram,verbo,mesma classe e campo semântico diferente,levou,verbo,mesma classe e campo semântico diferente,cura,verbo,mesma classe e campo semântico diferente,com,preposição,-,entregasse,verbo,mesma classe e campo semântico diferente,que,conjunção integrativa,-,cientistas,nome substantivo,-,deu,verbo,mesma classe e mesmo campo semântico,foi,verbo,mesma classe e mesmo campo semântico,O dia em que os jacarés invadiram a cidade,08:07,08:16
EST_113,8,B,são,verbo,mesma classe e mesmo campo semântico,quando,conjunção temporal,-,como,preposição,-,passão,verbo,mesma classe e campo semântico diferente,comente,verbo,mesma classe e campo semântico diferente,gosta,verbo,mesma classe e campo semântico diferente,saí,verbo,mesma classe e campo semântico diferente,cuidão,verbo,mesma classe e campo semântico diferente,tem,verbo,mesma classe e campo semântico diferente,são,verbo,mesma classe e mesmo campo semântico,chega,verbo,mesma classe e campo semântico diferente,é,verbo,mesma classe e mesmo campo semântico,sai,verbo,mesma classe e campo semântico diferente,enquanto,conjunção temporal,-,quere,verbo,mesma classe e campo semântico diferente,agente,nome substantivo,-,são,verbo,mesma classe e campo semântico diferente,é,verbo,mesma classe e campo semântico diferente,os,artigo definido,-,do,contração,-,matão,verbo,mesma classe e campo semântico diferente,matão,verbo ,mesma classe e campo semântico diferente,que,pronome relativo,-,sua,pronome possessivo,-,morão,verbo,mesma classe e campo semântico diferente,humanos,nome substantivo,-,são,verbo,mesma classe e campo semântico diferente,pois,conjunção explicativa,-,chega,verbo,mesma classe e campo semântico diferente,são,verbo,mesma classe e campo semântico diferente,machuque,verbo,mesma classe e mesmo campo semântico,mata,verbo,mesma classe e campo semântico diferente,pediu,verbo,mesma classe e campo semântico diferente,joga,verbo,mesma classe e campo semântico diferente,em,preposição,-,O dia em que os jacarés invadiram a cidade,08:07,08:21
EST_114,8,A,são,verbo,mesma classe e mesmo campo semântico,jogam,verbo,mesma classe e mesmo campo semântico,dão,verbo,mesma classe e mesmo campo semântico,machuquem,verbo,mesma classe e mesmo campo semântico,é,verbo,mesma classe e mesmo campo semântico,cresce,verbo,mesma classe e campo semântico diferente,vive,verbo,mesma classe e mesmo campo semântico,faz,verbo,mesma classe e campo semântico diferente,evolui,verbo,mesma classe e campo semântico diferente,são,verbo,mesma classe e mesmo campo semântico,perceberam,verbo,mesma classe e mesmo campo semântico,era,verbo,mesma classe e mesmo campo semântico,foram,verbo,mesma classe e campo semântico diferente,atacou,verbo,mesma classe e mesmo campo semântico,é,verbo,mesma classe e mesmo campo semântico,roubavam,verbo,mesma classe e campo semântico diferente,mordia,verbo,mesma classe e campo semântico diferente,aguentou,verbo,mesma classe e campo semântico diferente,os,artigo definido,-,pegaram,verbo,mesma classe e mesmo campo semântico,-,-,-,morreram,verbo ,mesma classe e campo semântico diferente,pegaram,verbo ,mesma classe e campo semântico diferente,suas,pronome possessivo,-,levaram,verbo,mesma classe e campo semântico diferente,usava,verbo,mesma classe e campo semântico diferente,tinham,verbo,mesma classe e campo semântico diferente,-,-,-,-,-,-,tinham,verbo,mesma classe e mesmo campo semântico,machuquem,verbo,mesma classe e mesmo campo semântico,que,conjunção integrativa,-,jogava,verbo,mesma classe e campo semântico diferente,davam,verbo,mesma classe e mesmo campo semântico,é,verbo,mesma classe e mesmo campo semântico,O dia em que os jacarés invadiram a cidade,08:15,08:37
EST_115,8,B,são,verbo,mesma classe e mesmo campo semântico,jogaram,verbo,mesma classe e mesmo campo semântico,deram,verbo,mesma classe e mesmo campo semântico,machuquem,verbo,mesma classe e mesmo campo semântico,é,verbo,mesma classe e mesmo campo semântico,cairam,verbo,mesma classe e campo semântico diferente,irem,verbo,mesma classe e campo semântico diferente,repete,verbo,mesma classe e campo semântico diferente,cada,pronome indefinido,-,são,verbo,mesma classe e mesmo campo semântico,surgiram,verbo,mesma classe e campo semântico diferente,de,preposição,-,foram,verbo,mesma classe e campo semântico diferente,atacaram,verbo,mesma classe e mesmo campo semântico,sugeriram,verbo,mesma classe e campo semântico diferente,mudaram,verbo,mesma classe e campo semântico diferente,eram,verbo,mesma classe e campo semântico diferente,destrua,verbo,mesma classe e campo semântico diferente,os,artigo definido,-,tomar,verbo,mesma classe e mesmo campo semântico,morreram,verbo,mesma classe e campo semântico diferente,criados,verbo ,mesma classe e campo semântico diferente,multaram,verbo ,mesma classe e campo semântico diferente,suas,pronome possessivo,-,conviviam,verbo,mesma classe e campo semântico diferente,deram,verbo,mesma classe e campo semântico diferente,eram,verbo,mesma classe e campo semântico diferente,tiveram,verbo,mesma classe e campo semântico diferente,ferocidade,nome substantivo,-,no,preposição,-,aproveitavam,verbo,mesma classe e campo semântico diferente,jogaram,verbo,mesma classe e campo semântico diferente,jacarés,nome substantivo,-,deram,verbo,mesma classe e mesmo campo semântico,Foi,verbo,mesma classe e mesmo campo semântico,O dia em que os jacarés invadiram a cidade,08:07,08:21
EST_116,8,A,eram,verbo,mesma classe e mesmo campo semântico,jogaram,verbo,mesma classe e mesmo campo semântico,apertaram,verbo,mesma classe e mesmo campo semântico,machucassem,verbo,mesma classe e mesmo campo semântico,foi,verbo,mesma classe e mesmo campo semântico,-,-,-,-,-,-,passou,verbo,mesma classe e campo semântico diferente,aumentava,verbo,mesma classe e campo semântico diferente,ficaram,verbo,mesma classe e mesmo campo semântico,ficaram,verbo,mesma classe e mesmo campo semântico,era,verbo,mesma classe e mesmo campo semântico,estavam,verbo,mesma classe e campo semântico diferente,-,-,-,era,verbo,mesma classe e mesmo campo semântico,tinham,verbo,mesma classe e campo semântico diferente,-,-,-,aguentou,verbo,mesma classe e campo semântico diferente,os,artigo definido,-,tomaram,verbo,mesma classe e mesmo campo semântico,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,vendeu,verbo,mesma classe e mesmo campo semântico,tinham,verbo,mesma classe e campo semântico diferente,-,-,-,-,-,-,com,preposição,-,machucassem,verbo,mesma classe e mesmo campo semântico,pegaram,verbo,mesma classe e mesmo campo semântico,jogaram,verbo,mesma classe e mesmo campo semântico,deram,verbo,mesma classe e mesmo campo semântico,foi,verbo,mesma classe e mesmo campo semântico,O dia em que os jacarés invadiram a cidade,08:15,08:26
EST_117,8,B,eram,verbo,mesma classe e mesmo campo semântico,jogaram,verbo,mesma classe e mesmo campo semântico,deram,verbo,mesma classe e mesmo campo semântico,machucassem,verbo,mesma classe e mesmo campo semântico,foi,verbo,mesma classe e mesmo campo semântico,perigosos,adjetivo,-,ferozes,adjetivo,-,multiplicaram,verbo,mesma classe e mesmo campo semântico,crecia,verbo,mesma classe e mesmo campo semântico,ficaram,verbo,mesma classe e mesmo campo semântico,descobriram,verbo,mesma classe e mesmo campo semântico,era,verbo,mesma classe e mesmo campo semântico,invadiram,verbo,mesma classe e mesmo campo semântico,atacaram,verbo,mesma classe e mesmo campo semântico,era,verbo,mesma classe e mesmo campo semântico,tinham,verbo,mesma classe e campo semântico diferente,comiam,verbo,mesma classe e mesmo campo semântico,mudou,verbo,mesma classe e campo semântico diferente,eram,verbo,mesma classe e mesmo campo semântico,comandavam,verbo,mesma classe e mesmo campo semântico,sobraram,verbo,mesma classe e campo semântico diferente,devoraram,verbo ,mesma classe e mesmo campo semântico,fizeram,verbo ,mesma classe e campo semântico diferente,mesma,pronome demonstrativo,-,criaram,verbo,mesma classe e mesmo campo semântico,venderam,verbo,mesma classe e mesmo campo semântico,perderam,verbo,mesma classe e mesmo campo semântico,atacavam,verbo,mesma classe e campo semântico diferente,todos,pronome indefinido,-,tinham,verbo,-,machucasse,verbo,mesma classe e campo semântico diferente,pegou,verbo,mesma classe e mesmo campo semântico,jogou,verbo,mesma classe e mesmo campo semântico,apertou,verbo,mesma classe e mesmo campo semântico,Foi,verbo,mesma classe e mesmo campo semântico,O dia em que os jacarés invadiram a cidade,08:07,08:16
EST_118,8,B,são,verbo,mesma classe e mesmo campo semântico,são,verbo,mesma classe e campo semântico diferente,que,pronome relativo,-,-,-,-,ser,verbo,mesma classe e mesmo campo semântico,Feras,adjetivo,-,esta,verbo,mesma classe e campo semântico diferente,que,conjunção integrante,-,Se,conjunção ,-,que,preposição,-,do,preposição,-,era,verbo,mesma classe e mesmo campo semântico,nas,contração,-,que,conjunção integrativa,-,se,conjunção condicional,-,São,verbo,mesma classe e campo semântico diferente,ataca,verbo,mesma classe e mesmo campo semântico,e,verbo,mesma classe e campo semântico diferente,os,artigo definido,-,esta,verbo,mesma classe e campo semântico diferente,São,verbo,mesma classe e campo semântico diferente,o,artigo definido,-,que,pronome relativo,-,que,conjunção integrativa,-,São,verbo,mesma classe e campo semântico diferente,tem,verbo,mesma classe e campo semântico diferente,e,verbo,mesma classe e campo semântico diferente,São,verbo,mesma classe e campo semântico diferente,aqueles,pronome demonstrativo,-,São,verbo,mesma classe e campo semântico diferente,porque,conjunção explicativa,-,que,conjunção integrativa,-,que,pronome relativo,-,nao,advérbio de negação,-,ne,-,-,O dia em que os jacarés invadiram a cidade,08:07,08:09
EST_119,8,A,são,verbo,mesma classe e mesmo campo semântico,que,pronome relativo,-,estam,verbo,-,machuque,verbo,mesma classe e mesmo campo semântico,é,verbo,mesma classe e mesmo campo semântico,estam,verbo,mesma classe e campo semântico diferente,elu,pronome pessoal,-,que,conjunção integrante,-,é,verbo,mesma classe e campo semântico diferente,os,artigo,-,chegaram,verbo,mesma classe e campo semântico diferente,estava,verbo,mesma classe e mesmo campo semântico,apareceram,verbo,mesma classe e campo semântico diferente,mas,conjunção adversativa,-,jacarés,nome substantivo,-,que,pronome relativo,-,modificaram,verbo,mesma classe e campo semântico diferente,mudança,nome substantivo,-,os,artigo definido,-,estam,verbo,mesma classe e campo semântico diferente,estranhos,adjetivo,-,é,verbo ,mesma classe e campo semântico diferente,humana,nome substantivo,-,que,conjunção integrativa,-,são,verbo,mesma classe e campo semântico diferente,usam,verbo,mesma classe e campo semântico diferente,foram,verbo,mesma classe e campo semântico diferente,mais,advérbio de intensidade,-,os,artigo,-,tem,verbo,mesma classe e campo semântico diferente,vivem,verbo,mesma classe e campo semântico diferente,que,conjunção integrativa,-,jacarés,nome substantivo,-,que,pronome relativo,-,é,verbo,mesma classe e mesmo campo semântico,O dia em que os jacarés invadiram a cidade,08:15,08:31
EST_120,8,A,eram,verbo,mesma classe e mesmo campo semântico,viram,verbo,mesma classe e campo semântico diferente,deram,verbo,mesma classe e mesmo campo semântico,machucassem,verbo,mesma classe e mesmo campo semântico,aconteceu,verbo,mesma classe e mesmo campo semântico,minúsculos,adjetivo,-,ferozes,adjetivo,-,iniciou,verbo,mesma classe e campo semântico diferente,cresceu,verbo,mesma classe e mesmo campo semântico,eram,verbo,mesma classe e mesmo campo semântico,perceberam,verbo,mesma classe e mesmo campo semântico,era,verbo,mesma classe e mesmo campo semântico,andavam,verbo,mesma classe e campo semântico diferente,assustava,verbo,mesma classe e campo semântico diferente,era,verbo,mesma classe e mesmo campo semântico,roubavam,verbo,mesma classe e campo semântico diferente,existiam,verbo,mesma classe e campo semântico diferente,conseguisse,verbo,mesma classe e campo semântico diferente,os,artigo definido,-,habitavam,verbo,mesma classe e campo semântico diferente,morreram,verbo,mesma classe e campo semântico diferente,viraram,verbo ,mesma classe e campo semântico diferente,criaram,verbo ,mesma classe e campo semântico diferente,diversa,adjetivo,-,criaram,verbo,mesma classe e mesmo campo semântico,deram,verbo,mesma classe e campo semântico diferente,tinham,verbo,mesma classe e campo semântico diferente,começaram,verbo,mesma classe e mesmo campo semântico,atacar,verbo,mesma classe e mesmo campo semântico,tinham,verbo,mesma classe e mesmo campo semântico,assustasem,verbo,mesma classe e campo semântico diferente,colocaram,verbo,mesma classe e campo semântico diferente,colocavam,verbo,mesma classe e mesmo campo semântico,deram,pronome relativo,mesma classe e mesmo campo semântico,foi,verbo,mesma classe e mesmo campo semântico,O dia em que os jacarés invadiram a cidade,08:15,08:37
