discente,ano,turma,lacuna_1,classificacao_1,correcao_1,lacuna_2,classificacao_2,correcao_2,lacuna_3,classificacao_3,correcao_3,lacuna_4,classificacao_4,correcao_4,lacuna_5,classificacao_5,correcao_5,lacuna_6,classificacao_6,correcao_6,lacuna_7,classificacao_7,correcao_7,lacuna_8,classificacao_8,correcao_8,lacuna_9,classificacao_9,correcao_9,lacuna_10,classificacao_10,correcao_10,lacuna_11,classificacao_11,correcao_11,lacuna_12,classificacao_12,correcao_12,lacuna_13,classificacao_13,correcao_13,lacuna_14,classificacao_14,correcao_14,lacuna_15,classificacao_15,correcao_15,lacuna_16,classificacao_16,correcao_16,lacuna_17,classificacao_17,correcao_17,lacuna_18,classificacao_18,correcao_18,lacuna_19,classificacao_19,correcao_19,lacuna_20,classificacao_20,correcao_20,lacuna_21,classificacao_21,correcao_21,lacuna_22,classificacao_22,correcao_22,lacuna_23,classificacao_23,correcao_23,lacuna_24,classificacao_24,correcao_24,lacuna_25,classificacao_25,correcao_25,lacuna_26,classificacao_26,correcao_26,lacuna_27,classificacao_27,correcao_27,lacuna_28,classificacao_28,correcao_28,lacuna_29,classificacao_29,correcao_29,lacuna_30,classificacao_30,correcao_30,lacuna_31,classificacao_31,correcao_31,texto,tempo_inicial,tempo_final
EST_61,7,B,tinha,verbo,mesma classe e campo semântico diferente,teve,verbo,mesma classe e campo semântico diferente,tinham,verbo,mesma classe e mesmo campo semântico,viajar,verbo,mesma classe e mesmo campo semântico,eles,pronome pessoal,-,foram,verbo,mesma classe e mesmo campo semântico,tiveram,verbo,mesma classe e campo semântico diferente,perguntam,verbo,mesma classe e campo semântico diferente,se,conjunção condicional,-,mostraram,verbo,mesma classe e campo semântico diferente,tiveram,verbo,mesma classe e campo semântico diferente,todos,pronome indefinido,-,todas,pronome indefinido,-,como,conjunção explicativa,-,sabendo,verbo,mesma classe e campo semântico diferente,descobre,verbo,mesma classe e campo semântico diferente,fica,verbo,mesma classe e campo semântico diferente,percebe,verbo,mesma classe e campo semântico diferente,tem,verbo,mesma classe e campo semântico diferente,estavam,verbo,mesma classe e mesmo campo semântico,com,preposição,-,com,preposição,-,viajem,verbo,mesma classe e campo semântico diferente,todos,pronome indefinido,-,só,advérbio de exclusão,-,percebeu,verbo,mesma classe e campo semântico diferente,realiza,verbo,mesma classe e campo semântico diferente,saia,verbo,mesma classe e mesmo campo semântico,fazia,verbo,mesma classe e mesmo campo semântico,compra,verbo,mesma classe e mesmo campo semântico,mostra,verbo,mesma classe e campo semântico diferente,Frustração,08:01,08:13
EST_62,7,A,era,verbo,mesma classe e mesmo campo semântico,trabalhava,verbo,mesma classe e mesmo campo semântico,tinham,verbo,mesma classe e mesmo campo semântico,viajar,verbo,mesma classe e mesmo campo semântico,falar,verbo,mesma classe e mesmo campo semântico,era,verbo,mesma classe e mesmo campo semântico,idealizaram,verbo,mesma classe e mesmo campo semântico,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,também,advérbio de inclusão,-,entendendo,verbo,mesma classe e campo semântico diferente,-,-,-,-,-,-,-,-,-,viajaram,verbo,mesma classe e mesmo campo semântico,ficaram,verbo,mesma classe e mesmo campo semântico,recolhem,verbo,mesma classe e campo semântico diferente,adquiriu,verbo,mesma classe e campo semântico diferente,ficavam,verbo,mesma classe e mesmo campo semântico,com,preposição,-,carimbam,verbo,mesma classe e mesmo campo semântico,escutando,verbo,mesma classe e campo semântico diferente,-,-,-,fora,advérbio de lugar,-,fez,verbo,mesma classe e mesmo campo semântico,comprou,verbo,mesma classe e mesmo campo semântico,devolvem,verbo,mesma classe e campo semântico diferente,Frustração,08:06,08:28
EST_63,7,A,era,verbo,mesma classe e mesmo campo semântico,trabalhava,verbo,mesma classe e mesmo campo semântico,tinha,verbo,mesma classe e mesmo campo semântico,viaja,verbo,mesma classe e mesmo campo semântico,conta,verbo,mesma classe e mesmo campo semântico,era,verbo,mesma classe e mesmo campo semântico,-,-,-,ia,verbo,mesma classe e campo semântico diferente,dizer,verbo,mesma classe e mesmo campo semântico,-,-,-,os,artigo definido,-,chamaram,verbo,mesma classe e mesmo campo semântico,tira,verbo,mesma classe e campo semântico diferente,contaram,verbo,mesma classe e mesmo campo semântico,queria,verbo,mesma classe e campo semântico diferente,-,-,-,o,artigo definido,-,que,conjunção integrativa,-,é,verbo,mesma classe e campo semântico diferente,ficaram,verbo,mesma classe e mesmo campo semântico,e,conjunção aditiva,-,pega,verbo,mesma classe e campo semântico diferente,junto,adjetivo,-,e,conjunção aditiva,-,-,-,-,escrevia,verbo,mesma classe e campo semântico diferente,leva,verbo,mesma classe e campo semântico diferente,que,conjunção integrativa,-,tinha,verbo,mesma classe e campo semântico diferente,fez,verbo,mesma classe e campo semântico diferente,envior,verbo,mesma classe e campo semântico diferente,Frustração,08:06,08:18
EST_64,7,B,era,verbo,mesma classe e mesmo campo semântico,era,verbo,mesma classe e campo semântico diferente,tinha,verbo,mesma classe e mesmo campo semântico,comer,verbo,mesma classe e campo semântico diferente,contar,verbo,mesma classe e mesmo campo semântico,era,verbo,mesma classe e mesmo campo semântico,em,preposição,-,foram,verbo,mesma classe e campo semântico diferente,falar,verbo,mesma classe e mesmo campo semântico,compraram,verbo,mesma classe e campo semântico diferente,viram,verbo,mesma classe e campo semântico diferente,todos,pronome indefinido,-,ver,verbo,mesma classe e mesmo campo semântico,contaram,verbo,mesma classe e mesmo campo semântico,contou,verbo,mesma classe e mesmo campo semântico,viu,verbo,mesma classe e campo semântico diferente,ficou,verbo,mesma classe e campo semântico diferente,disso,contração,-,contou,verbo,mesma classe e campo semântico diferente,estavam,verbo,mesma classe e mesmo campo semântico,tinham,verbo,mesma classe e campo semântico diferente,pegou,verbo,mesma classe e campo semântico diferente,numa,contração,-,pegou,verbo,mesma classe e campo semântico diferente,viu,verbo,mesma classe e campo semântico diferente,contou,verbo,mesma classe e campo semântico diferente,paga,verbo,mesma classe e campo semântico diferente,chegou,verbo,mesma classe e campo semântico diferente,assistiu,verbo,mesma classe e campo semântico diferente,fez,verbo,mesma classe e campo semântico diferente,viu,verbo,mesma classe e campo semântico diferente,Frustração,08:01,08:20
EST_65,7,A,era,verbo,mesma classe e mesmo campo semântico,era,verbo,mesma classe e campo semântico diferente,teve,verbo,mesma classe e mesmo campo semântico,viajar,verbo,mesma classe e mesmo campo semântico,contar,verbo,mesma classe e mesmo campo semântico,era,verbo,mesma classe e mesmo campo semântico,teve,verbo,mesma classe e campo semântico diferente,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ficavam,verbo,mesma classe e mesmo campo semântico,entregava,verbo,mesma classe e campo semântico diferente,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,chegando,verbo,mesma classe e campo semântico diferente,tinha,verbo,mesma classe e campo semântico diferente,pegava,verbo,mesma classe e campo semântico diferente,pegava,verbo,mesma classe e campo semântico diferente,Frustração,08:06,08:16
EST_66,7,A,é,verbo,mesma classe e mesmo campo semântico,é,verbo,mesma classe e campo semântico diferente,tem,verbo,mesma classe e mesmo campo semântico,sair,verbo,mesma classe e campo semântico diferente,falar,verbo,mesma classe e mesmo campo semântico,é,verbo,mesma classe e mesmo campo semântico,é,verbo,mesma classe e campo semântico diferente,conta,verbo,mesma classe e campo semântico diferente,-,-,-,-,-,-,-,-,-,encontrar,verbo,mesma classe e campo semântico diferente,mostra,verbo,mesma classe e campo semântico diferente,conta,verbo,mesma classe e mesmo campo semântico,sabe,verbo,mesma classe e campo semântico diferente,descobre,verbo,mesma classe e campo semântico diferente,é,verbo,mesma classe e campo semântico diferente,-,-,-,-,-,-,estâ,verbo,mesma classe e mesmo campo semântico,ver,verbo,mesma classe e campo semântico diferente,ver,verbo,mesma classe e campo semântico diferente,tem,verbo,mesma classe e campo semântico diferente,-,-,-,-,-,-,conta,verbo,mesma classe e campo semântico diferente,amigos,nome substantivo,-,que,conjunção integrativa,-,fes,verbo,mesma classe e mesmo campo semântico,-,-,-,-,-,-,Frustração,08:06,08:26
EST_67,7,A,era,verbo,mesma classe e mesmo campo semântico,trabalhava,verbo,mesma classe e mesmo campo semântico,sobrava,verbo,mesma classe e mesmo campo semântico,viajarem,verbo,mesma classe e mesmo campo semântico,contar,verbo,mesma classe e mesmo campo semântico,era,verbo,mesma classe e mesmo campo semântico,tiveram,verbo,mesma classe e campo semântico diferente,falaram,verbo,mesma classe e campo semântico diferente,avisá-los,verbo,mesma classe e mesmo campo semântico,viajariam,verbo,mesma classe e mesmo campo semântico,enviar,verbo,mesma classe e mesmo campo semântico,avisaram,verbo,mesma classe e mesmo campo semântico,enviar,verbo,mesma classe e campo semântico diferente,contas,nome substantivo,-,tinha,verbo,mesma classe e campo semântico diferente,sabia,verbo,mesma classe e campo semântico diferente,era,verbo,mesma classe e campo semântico diferente,então,advérbio de tempo,-,sabendo,verbo,mesma classe e campo semântico diferente,foram,verbo,mesma classe e campo semântico diferente,lia,verbo,mesma classe e mesmo campo semântico,mostrava,verbo,mesma classe e campo semântico diferente,era,verbo,mesma classe e mesmo campo semântico,nas,contração,-,tinham,verbo,mesma classe e campo semântico diferente,ouvia,verbo,mesma classe e campo semântico diferente,acalmá,verbo,mesma classe e campo semântico diferente,então,advérbio de tempo,-,tinha,verbo,mesma classe e campo semântico diferente,comprava,verbo,mesma classe e mesmo campo semântico,botava,verbo,mesma classe e mesmo campo semântico,Frustração,08:06,08:18
EST_68,7,A,como,preposição,-,estava,verbo,mesma classe e mesmo campo semântico,tinha,verbo,mesma classe e mesmo campo semântico,finanças,nome substantivo,-,contar,verbo,mesma classe e mesmo campo semântico,é,verbo,mesma classe e mesmo campo semântico,há,verbo,mesma classe e campo semântico diferente,pediam,verbo,mesma classe e campo semântico diferente,fotografar,verbo,mesma classe e campo semântico diferente,enviavam,verbo,mesma classe e campo semântico diferente,davam,verbo,mesma classe e mesmo campo semântico,convidou,verbo,mesma classe e mesmo campo semântico,todas,pronome indefinido,-,temos,verbo,mesma classe e campo semântico diferente,tem,verbo,mesma classe e campo semântico diferente,tem,verbo,mesma classe e campo semântico diferente,ficou,verbo,mesma classe e campo semântico diferente,daquilo,contração,-,é,verbo,mesma classe e campo semântico diferente,ficaram,verbo,mesma classe e mesmo campo semântico,pegou,verbo,mesma classe e campo semântico diferente,tinha,verbo,mesma classe e campo semântico diferente,estavam,verbo,mesma classe e mesmo campo semântico,E,conjunção aditiva,-,pois,conjunção explicativa,-,conta,verbo,mesma classe e campo semântico diferente,passa,verbo,mesma classe e campo semântico diferente,dentro,advérbio de lugar,-,fez,verbo,mesma classe e mesmo campo semântico,tinha,verbo,mesma classe e campo semântico diferente,guardava,verbo,mesma classe e campo semântico diferente,Frustração,08:06,08:19
EST_69,7,A,de,preposição,-,que,pronome relativo,-,tinha,verbo,mesma classe e mesmo campo semântico,viajar,verbo,mesma classe e mesmo campo semântico,viajar,verbo,mesma classe e campo semântico diferente,era,verbo,mesma classe e mesmo campo semântico,tinha,verbo,mesma classe e campo semântico diferente,pediram,verbo,mesma classe e campo semântico diferente,-,-,-,-,-,-,-,-,-,foram,verbo,mesma classe e campo semântico diferente,pedir,verbo,mesma classe e campo semântico diferente,as,artigo definido,-,entendia,verbo,mesma classe e campo semântico diferente,-,-,-,-,-,-,entendeu,verbo,mesma classe e campo semântico diferente,havia,verbo,mesma classe e campo semântico diferente,estão,verbo,mesma classe e mesmo campo semântico,e,conjunção aditiva,-,tinha,verbo,mesma classe e campo semântico diferente,estava,verbo,mesma classe e mesmo campo semântico,Mas,conjunção adversativa,-,estava,verbo,mesma classe e campo semântico diferente,-,-,-,-,-,-,ia,verbo,mesma classe e campo semântico diferente,tinha,verbo,mesma classe e campo semântico diferente,compraria,verbo,mesma classe e mesmo campo semântico,iria,verbo,mesma classe e campo semântico diferente,Frustração,08:06,08:17
EST_70,7,B,é,verbo,mesma classe e mesmo campo semântico,trabalha,verbo,mesma classe e mesmo campo semântico,tiveram,verbo,mesma classe e mesmo campo semântico,viajar,verbo,mesma classe e mesmo campo semântico,contar,verbo,mesma classe e mesmo campo semântico,era,verbo,mesma classe e mesmo campo semântico,tinham,verbo,mesma classe e campo semântico diferente,contavam,verbo,mesma classe e campo semântico diferente,aonde,advérbio de lugar,-,viajavam,verbo,mesma classe e mesmo campo semântico,entregavam,verbo,mesma classe e mesmo campo semântico,era,verbo,mesma classe e campo semântico diferente,mostrar,verbo,mesma classe e campo semântico diferente,contavam,verbo,mesma classe e mesmo campo semântico,sabia,verbo,mesma classe e campo semântico diferente,soube,verbo,mesma classe e campo semântico diferente,ficou,verbo,mesma classe e campo semântico diferente,viajaram,verbo,mesma classe e campo semântico diferente,viajavam,verbo,mesma classe e mesmo campo semântico,ficam,verbo,mesma classe e mesmo campo semântico,compra,verbo,mesma classe e campo semântico diferente,edita,verbo,mesma classe e mesmo campo semântico,aparece,verbo,mesma classe e mesmo campo semântico,usam,verbo,mesma classe e campo semântico diferente,colocando,verbo,mesma classe e mesmo campo semântico,escuta,verbo,mesma classe e campo semântico diferente,decora,verbo,mesma classe e campo semântico diferente,sai,verbo,mesma classe e mesmo campo semântico,faz,verbo,mesma classe e mesmo campo semântico,compra,verbo,mesma classe e mesmo campo semântico,abre,verbo,mesma classe e campo semântico diferente,Frustração,08:01,08:15
