contexto,lacuna,gabarito,classificacao,correcao
Meu pai era lavrador e [LACUNA] duro nas fazendas de café,dava,trabalhava,verbo,classe_correta
"Ele [LACUNA] pouco, mas juntou dinheiro e mudamos para a cidade de São Paulo",tinha,ganhava,verbo,classe_correta
"Ele ganhava pouco, mas [LACUNA] dinheiro e mudamos para a cidade de São Paulo",tinhamos,juntou,verbo,classe_correta
"Ele ganhava pouco, mas juntou dinheiro e [LACUNA] para a cidade de São Paulo",fomos,mudamos,verbo,aceitavel
Que emoção [LACUNA] naquele trem que soltava fagulhas pela chaminé,estava,viajar,verbo,classe_correta
Que emoção viajar naquele trem que [LACUNA] fagulhas pela chaminé,fazia,soltava,verbo,aceitavel
"A nossa casa [LACUNA] pequena, mas o quintal era enorme",era,era,verbo,exata
"A nossa casa era pequena, mas o quintal [LACUNA] enorme",era,era,verbo,exata
Nós [LACUNA] na rua de tardezinha,íamos,brincávamos,verbo,classe_correta
O acendedor de lampiões [LACUNA] quando escurecia,até,passava,preposição,incorreta
O acendedor de lampiões passava quando [LACUNA],anoitecia,escurecia,verbo,aceitavel
Muita coisa [LACUNA] quando a eletricidade chegou,acontecia,mudou,verbo,aceitavel
Muita coisa mudou quando a eletricidade [LACUNA],via,chegou,verbo,classe_correta
As lâmpadas elétricas [LACUNA] os lampiões a gás,acendiam,substituíram,verbo,classe_correta
O rádio [LACUNA] e a família toda ouvia notícias e novelas,fazia,chegou,verbo,classe_correta
O rádio chegou e a família toda [LACUNA] notícias e novelas,ouvia,ouvia,verbo,exata
A inauguração dos bondes elétricos [LACUNA] uma emoção,era,foi,verbo,aceitavel
Todo mundo [LACUNA],amava,viu,verbo,classe_correta
Os primeiros automóveis [LACUNA] uma sensação,que,foram,pronome relativo,incorreta
Os ônibus também [LACUNA],era,chegaram,verbo,classe_correta
Os cavalos e burros [LACUNA] aos poucos do meio urbano,meio,desapareceram,advérbio de intensidade,incorreta
A cidade [LACUNA] e a nossa vida também,da,mudou,contração,incorreta
"Mais novidades [LACUNA] a cada dia: panelas de alumínio, geladeira, liquidificador, aspirador de pó, fogão a gás, objetos de plástico, roupas de náilon e a televisão",era,chegavam,verbo,classe_correta
Mas quem [LACUNA] pobre só comprou essas coisas depois que começaram a fabricá-las no Brasil,era,era,verbo,exata
Mas quem era pobre só [LACUNA] essas coisas depois que começaram a fabricá-las no Brasil,-,comprou,-,incorreta
Mas quem era pobre só comprou essas coisas depois que [LACUNA] a fabricá-las no Brasil,tinha,começaram,verbo,classe_correta
Mas quem era pobre só comprou essas coisas depois que começaram a [LACUNA]-las no Brasil,esta,fabricá,verbo,classe_correta
São Paulo [LACUNA] muito,tinha,cresceu,verbo,classe_correta
"As pessoas [LACUNA] que é a cidade que mais depressa cresceu no mundo, isso era motivo de orgulho para os paulistas, mas esse crescimento causou muitos problemas",boas,dizem,adjetivo,incorreta
"As pessoas dizem que [LACUNA] a cidade que mais depressa cresceu no mundo, isso era motivo de orgulho para os paulistas, mas esse crescimento causou muitos problemas",ajudamos,é,verbo,classe_correta
"As pessoas dizem que é a cidade que mais depressa [LACUNA] no mundo, isso era motivo de orgulho para os paulistas, mas esse crescimento causou muitos problemas",tudo,cresceu,pronome indefinido,incorreta
"As pessoas dizem que é a cidade que mais depressa cresceu no mundo, isso [LACUNA] motivo de orgulho para os paulistas, mas esse crescimento causou muitos problemas",era,era,verbo,exata
"As pessoas dizem que é a cidade que mais depressa cresceu no mundo, isso era motivo de orgulho para os paulistas, mas esse crescimento [LACUNA] muitos problemas",tecnologia,causou,nome substantivo,incorreta
"Mesmo assim, eu [LACUNA] dela",gostava,gosto,verbo,aceitavel
Aqui [LACUNA] minhas lembranças,tenho,estão,verbo,aceitavel
