discente,ano,turma,lacuna_1,classificacao_1,correcao_1,lacuna_2,classificacao_2,correcao_2,lacuna_3,classificacao_3,correcao_3,lacuna_4,classificacao_4,correcao_4,lacuna_5,classificacao_5,correcao_5,lacuna_6,classificacao_6,correcao_6,lacuna_7,classificacao_7,correcao_7,lacuna_8,classificacao_8,correcao_8,lacuna_9,classificacao_9,correcao_9,lacuna_10,classificacao_10,correcao_10,lacuna_11,classificacao_11,correcao_11,lacuna_12,classificacao_12,correcao_12,lacuna_13,classificacao_13,correcao_13,lacuna_14,classificacao_14,correcao_14,lacuna_15,classificacao_15,correcao_15,lacuna_16,classificacao_16,correcao_16,lacuna_17,classificacao_17,correcao_17,lacuna_18,classificacao_18,correcao_18,lacuna_19,classificacao_19,correcao_19,lacuna_20,classificacao_20,correcao_20,lacuna_21,classificacao_21,correcao_21,lacuna_22,classificacao_22,correcao_22,lacuna_23,classificacao_23,correcao_23,lacuna_24,classificacao_24,correcao_24,lacuna_25,classificacao_25,correcao_25,lacuna_26,classificacao_26,correcao_26,lacuna_27,classificacao_27,correcao_27,lacuna_28,classificacao_28,correcao_28,lacuna_29,classificacao_29,correcao_29,lacuna_30,classificacao_30,correcao_30,lacuna_31,classificacao_31,correcao_31,lacuna_32,classificacao_32,correcao_32,lacuna_33,classificacao_33,correcao_33,lacuna_34,classificacao_34,correcao_34,lacuna_35,classificacao_35,correcao_35,texto,tempo_inicial,tempo_final
EST_01,6,A,dava,verbo,mesma classe e campo semântico diferente,tinha,verbo,mesma classe e campo semântico diferente,tinhamos,verbo,mesma classe e campo semântico diferente,fomos,verbo,mesma classe e mesmo campo semântico,estava,verbo,mesma classe e campo semântico diferente,fazia,verbo,mesma classe e mesmo campo semântico,era,verbo,mesma classe e mesmo campo semântico,era,verbo,mesma classe e mesmo campo semântico,íamos,verbo,mesma classe e campo semântico diferente,até,preposição,-,anoitecia,verbo,mesma classe e mesmo campo semântico,acontecia,verbo,mesma classe e mesmo campo semântico,via,verbo,mesma classe e campo semântico diferente,acendiam,verbo,mesma classe e campo semântico diferente,fazia,verbo,mesma classe e campo semântico diferente,ouvia,verbo,mesma classe e mesmo campo semântico,era,verbo,mesma classe e mesmo campo semântico,amava,verbo,mesma classe e campo semântico diferente,que,pronome relativo,-,era,verbo,mesma classe e campo semântico diferente,meio,advérbio de intensidade,-,da,contração,-,era,verbo,mesma classe e campo semântico diferente,era,verbo,mesma classe e mesmo campo semântico,-,-,-,tinha,verbo,mesma classe e campo semântico diferente,esta,verbo,mesma classe e campo semântico diferente,tinha,verbo,mesma classe e campo semântico diferente,boas,adjetivo,-,ajudamos,verbo,mesma classe e campo semântico diferente,tudo,pronome indefinido,-,era,verbo,mesma classe e mesmo campo semântico,tecnologia,nome substantivo,-,gostava,verbo,mesma classe e mesmo campo semântico,tenho,verbo,mesma classe e mesmo campo semântico,Lembranças do passado,08:09,08:18
EST_02,6,B,carro,nome substantivo,-,tirava,verbo,mesma classe e campo semântico diferente,de,preposição,-,eu,pronome pessoal,-,de,preposição,-,pasava,verbo,mesma classe e campo semântico diferente,era,verbo,mesma classe e mesmo campo semântico,era,verbo,mesma classe e mesmo campo semântico,brica,verbo,mesma classe e mesmo campo semântico,e,conjunção aditiva,-,acotesia,verbo,mesma classe e campo semântico diferente,egrosa,verbo,mesma classe e campo semântico diferente,acabava,verbo,mesma classe e campo semântico diferente,apagava,verbo,mesma classe e campo semântico diferente,parava,verbo,mesma classe e campo semântico diferente,dia,nome substantivo,-,da,verbo,mesma classe e campo semântico diferente,ficamu,verbo,mesma classe e campo semântico diferente,foi,verbo,mesma classe e mesmo campo semântico,adavam,verbo,mesma classe e campo semântico diferente,sorriu,verbo,mesma classe e campo semântico diferente,ficou,verbo,mesma classe e campo semântico diferente,aconteceram,verbo,mesma classe e mesmo campo semântico,de,preposição,-,tem,verbo,mesma classe e mesmo campo semântico,evoluiu,verbo,mesma classe e campo semântico diferente,coisas,nome substantivo,-,também,advérbio de inclusão,-,gosto,verbo,mesma classe e campo semântico diferente,a,artigo,-,Brasil,nome substantivo,-,qual,pronome interrogativo,-,de,preposição,-,não,advérbio de negação,-,mas,conjunção adversativa,-,Lembranças do passado,08:00,08:16
EST_03,6,A,trabalhava,verbo,mesma classe e mesmo campo semântico,é,verbo,mesma classe e campo semântico diferente,o,artigo,-,a,artigo,-,tem,verbo,mesma classe e campo semântico diferente,solta,verbo,mesma classe e mesmo campo semântico,era,verbo,mesma classe e mesmo campo semântico,era,verbo,mesma classe e mesmo campo semântico,brincavamos,verbo,mesma classe e mesmo campo semântico,era,verbo,mesma classe e campo semântico diferente,faltava,verbo,mesma classe e campo semântico diferente,faltava,verbo,mesma classe e campo semântico diferente,caia,verbo,mesma classe e campo semântico diferente,e,conjunção aditiva,-,falava,verbo,mesma classe e campo semântico diferente,escutava,verbo,mesma classe e mesmo campo semântico,é,verbo,mesma classe e mesmo campo semântico,teve,verbo,mesma classe e campo semântico diferente,era,verbo,mesma classe e mesmo campo semântico,eram,verbo,mesma classe e campo semântico diferente,são,verbo,mesma classe e campo semântico diferente,é,verbo,mesma classe e campo semântico diferente,eram,verbo,mesma classe e campo semântico diferente,era,verbo,mesma classe e mesmo campo semântico,tinha,verbo,mesma classe e mesmo campo semântico,compraram,verbo,mesma classe e campo semântico diferente,e,conjunção aditiva,-,as,artigo,-,eram,verbo,mesma classe e campo semântico diferente,e,verbo,mesma classe e mesmo campo semântico,é,verbo,mesma classe e campo semântico diferente,era,verbo,mesma classe e mesmo campo semântico,eram,verbo,mesma classe e campo semântico diferente,era,verbo,mesma classe e campo semântico diferente,são,verbo,mesma classe e mesmo campo semântico,Lembranças do passado,08:09,08:24
EST_04,6,B,trabalhava,verbo,mesma classe e mesmo campo semântico,gastava,verbo,mesma classe e campo semântico diferente,o,artigo,-,viagar,verbo,mesma classe e campo semântico diferente,mas,conjunção adversativa,-,tem,verbo,mesma classe e mesmo campo semântico,é,verbo,mesma classe e mesmo campo semântico,é,verbo,mesma classe e mesmo campo semântico,paseamos,verbo,mesma classe e campo semântico diferente,é,verbo,mesma classe e campo semântico diferente,é,verbo,mesma classe e campo semântico diferente,que,pronome relativo,-,tem,verbo,mesma classe e campo semântico diferente,é,verbo,mesma classe e campo semântico diferente,tem,verbo,mesma classe e campo semântico diferente,a,artigo,-,da,verbo,mesma classe e campo semântico diferente,feliz,adjetivo,-,foram,verbo,mesma classe e mesmo campo semântico,foram,verbo,mesma classe e campo semântico diferente,tambem,advérbio de inclusão,-,foi,verbo,mesma classe e campo semântico diferente,pela,contração,-,é,verbo,mesma classe e mesmo campo semântico,tem,verbo,mesma classe e mesmo campo semântico,ficarem,verbo,mesma classe e campo semântico diferente,ricos,nome substantivo,-,tem,verbo,mesma classe e campo semântico diferente,ficam,verbo,mesma classe e campo semântico diferente,estas,verbo,mesma classe e campo semântico diferente,do,contração,-,é,verbo,mesma classe e mesmo campo semântico,patria,nome substantivo,-,não,advérbio de negação,-,sera,verbo,mesma classe e mesmo campo semântico,Lembranças do passado,08:00,08:31
EST_05,6,B,trabalhava,verbo,mesma classe e mesmo campo semântico,fazia,verbo,mesma classe e campo semântico diferente,o,artigo,-,suficiente,adjetivo,-,quando,advérbio de tempo,-,a,artigo,-,era,verbo,mesma classe e mesmo campo semântico,era,verbo,mesma classe e mesmo campo semântico,brincava,verbo,mesma classe e mesmo campo semântico,acaba,verbo,mesma classe e campo semântico diferente,acende,verbo,mesma classe e campo semântico diferente,é,verbo,mesma classe e campo semântico diferente,acaba,verbo,mesma classe e campo semântico diferente,também,advérbio de inclusão,-,eletrico,adjetivo,-,é,verbo,mesma classe e campo semântico diferente,era,verbo,mesma classe e mesmo campo semântico,queria,verbo,mesma classe e campo semântico diferente,era,verbo,mesma classe e mesmo campo semântico,anda,verbo,mesma classe e campo semântico diferente,sai,verbo,mesma classe e mesmo campo semântico,que,pronome relativo,-,é,verbo,mesma classe e campo semântico diferente,é,verbo,mesma classe e mesmo campo semântico,tem,verbo,mesma classe e mesmo campo semântico,acontece,verbo,mesma classe e campo semântico diferente,lançadas,verbo,mesma classe e campo semântico diferente,tem,verbo,mesma classe e campo semântico diferente,acho,verbo,mesma classe e mesmo campo semântico,muita,pronome indefinido,-,raiva,nome substantivo,-,é,verbo,mesma classe e mesmo campo semântico,trazer,verbo,mesma classe e mesmo campo semântico,falo,verbo,mesma classe e campo semântico diferente,é,verbo,mesma classe e mesmo campo semântico,Lembranças do passado,08:00,08:26
EST_06,6,A,trabalhava,verbo,mesma classe e mesmo campo semântico,ganhava,verbo,mesma classe e mesmo campo semântico,ssobrava,verbo,mesma classe e campo semântico diferente,viajava,verbo,mesma classe e campo semântico diferente,era,verbo,mesma classe e campo semântico diferente,ssaia,verbo,mesma classe e mesmo campo semântico,era,verbo,mesma classe e mesmo campo semântico,era,verbo,mesma classe e mesmo campo semântico,brimcavamos,verbo,mesma classe e mesmo campo semântico,assendia,verbo,mesma classe e campo semântico diferente,escurecia,verbo,mesma classe e mesmo campo semântico,melhorou,verbo,mesma classe e campo semântico diferente,chegou,verbo,mesma classe e mesmo campo semântico,ssubistuirão,verbo,mesma classe e mesmo campo semântico,tocava,verbo,mesma classe e campo semântico diferente,escutavão,verbo,mesma classe e mesmo campo semântico,foi,verbo,mesma classe e mesmo campo semântico,gostou,verbo,mesma classe e campo semântico diferente,forão,verbo,mesma classe e mesmo campo semântico,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Lembranças do passado,08:09,08:27
EST_07,6,B,trabalhava,verbo,mesma classe e mesmo campo semântico,trabalhava,verbo,mesma classe e campo semântico diferente,ganhava,verbo,mesma classe e campo semântico diferente,fomos,verbo,mesma classe e mesmo campo semântico,que,pronome relativo,-,tem,verbo,mesma classe e mesmo campo semântico,é,verbo,mesma classe e mesmo campo semântico,é,verbo,mesma classe e mesmo campo semântico,fomos,verbo,mesma classe e campo semântico diferente,estava,verbo,mesma classe e campo semântico diferente,eu,pronome pessoal,-,aconteceu,verbo,mesma classe e mesmo campo semântico,veio,verbo,mesma classe e mesmo campo semântico,estouraram,verbo,mesma classe e campo semântico diferente,funcionou,verbo,mesma classe e campo semântico diferente,era,verbo,mesma classe e campo semântico diferente,foram,verbo,mesma classe e mesmo campo semântico,viu,verbo,mesma classe e mesmo campo semântico,a,artigo,-,fumcionam,verbo,mesma classe e campo semântico diferente,estão,verbo,mesma classe e campo semântico diferente,carmopolis,nome substantivo,-,maravilhosas,adjetivo,-,esta,verbo,mesma classe e mesmo campo semântico,sofre,verbo,mesma classe e campo semântico diferente,eu,pronome pessoal,-,ela,pronome pessoal,-,odiei,verbo,mesma classe e campo semântico diferente,atrasam,verbo,mesma classe e campo semântico diferente,são,verbo,mesma classe e mesmo campo semântico,é,verbo,mesma classe e campo semântico diferente,é,verbo,mesma classe e mesmo campo semântico,tem,verbo,mesma classe e mesmo campo semântico,gosto,verbo,mesma classe e mesmo campo semântico,são,verbo,mesma classe e mesmo campo semântico,Lembranças do passado,08:00,08:26
EST_08,6,A,muito,advérbio de intensidade,-,e,conjunção,-,o,artigo,-,-,-,-,-,-,-,souta,verbo,mesma classe e mesmo campo semântico,e,verbo,mesma classe e mesmo campo semântico,e,verbo,mesma classe e mesmo campo semântico,sentamos,verbo,mesma classe e campo semântico diferente,acende,verbo,mesma classe e campo semântico diferente,chegamos,verbo,mesma classe e campo semântico diferente,acontece,verbo,mesma classe e mesmo campo semântico,acaba,verbo,mesma classe e campo semântico diferente,e,conjunção aditiva,-,passa,verbo,mesma classe e campo semântico diferente,as,artigo,-,teve,verbo,mesma classe e campo semântico diferente,adimerou,verbo,mesma classe e campo semântico diferente,e,verbo,mesma classe e mesmo campo semântico,adimiramos,verbo,mesma classe e campo semântico diferente,vão,verbo,mesma classe e campo semântico diferente,onde,advérbio de lugar,-,e,conjunção aditiva,-,e,verbo,mesma classe e mesmo campo semântico,acontece,verbo,mesma classe e campo semântico diferente,-,-,-,-,-,-,e,conjunção aditiva,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Lembranças do passado,08:09,08:24
EST_09,6,B,muito,advérbio de intensidade,-,trabalhava,verbo,mesma classe e campo semântico diferente,o,artigo,-,-,-,-,ir,verbo,mesma classe e mesmo campo semântico,soltava,verbo,mesma classe e mesmo campo semântico,era,verbo,mesma classe e mesmo campo semântico,era,verbo,mesma classe e mesmo campo semântico,brincavamos,verbo,mesma classe e mesmo campo semântico,aparecia,verbo,mesma classe e mesmo campo semântico,noite,nome substantivo,-,acontecia,verbo,mesma classe e mesmo campo semântico,acabava,verbo,mesma classe e campo semântico diferente,substuiram,verbo,mesma classe e mesmo campo semântico,acabou,verbo,mesma classe e campo semântico diferente,assistia,verbo,mesma classe e campo semântico diferente,era,verbo,mesma classe e mesmo campo semântico,ia,verbo,mesma classe e campo semântico diferente,eram,verbo,mesma classe e mesmo campo semântico,eram,verbo,mesma classe e campo semântico diferente,sumiram,verbo,mesma classe e mesmo campo semântico,mudou,verbo,mesma classe e mesmo campo semântico,aconteciam,verbo,mesma classe e mesmo campo semântico,era,verbo,mesma classe e mesmo campo semântico,tinha,verbo,mesma classe e mesmo campo semântico,trabalhace,verbo,mesma classe e campo semântico diferente,locuras,nome substantivo,-,modou,verbo,mesma classe e campo semântico diferente,perceberam,verbo,mesma classe e campo semântico diferente,São Paulo,nome substantivo,-,creceu,verbo,mesma classe e mesmo campo semântico,virou,verbo,mesma classe e campo semântico diferente,causou,verbo,mesma classe e mesmo campo semântico,gostava,verbo,mesma classe e mesmo campo semântico,perteciam,verbo,mesma classe e campo semântico diferente,Lembranças do passado,08:00,08:21
EST_10,6,A,trabalhava,verbo,mesma classe e mesmo campo semântico,recebia,verbo,mesma classe e mesmo campo semântico,-,-,-,trabalhava,verbo,mesma classe e campo semântico diferente,era,verbo,mesma classe e campo semântico diferente,balansavam,verbo,mesma classe e campo semântico diferente,era,verbo,mesma classe e mesmo campo semântico,era,verbo,mesma classe e mesmo campo semântico,brincavamos,verbo,mesma classe e mesmo campo semântico,passava,verbo,mesma classe e mesmo campo semântico,entardecia,verbo,mesma classe e mesmo campo semântico,acontecia,verbo,mesma classe e mesmo campo semântico,faltava,verbo,mesma classe e campo semântico diferente,e,conjunção aditiva,-,-,-,-,-,-,-,era,verbo,mesma classe e mesmo campo semântico,queria,verbo,mesma classe e campo semântico diferente,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,era,verbo,mesma classe e mesmo campo semântico,usava,verbo,mesma classe e mesmo campo semântico,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,dava,verbo,mesma classe e mesmo campo semântico,tinha,verbo,mesma classe e mesmo campo semântico,-,-,-,tenho,verbo,mesma classe e mesmo campo semântico,Lembranças do passado,08:09,08:30
