discente,escola,ano,turma,texto,respostas,correcao_humana,tempo_inicial,tempo_final,pontuacao,correcao,exata,grafia_incorreta,aceitavel,classe_correta,erro,branco,compreensao
EST_158,CODAP,9,B,Memórias de um aprendiz de escritor,"['via', 'era', 'deu', 'que', 'que', 'poderia', 'quanto', 'viu', 'ficou', 'estava', 'caira', 'morerria', 'também', 'e', 'caio', 'seram', 'parou', 'não', 'falava', 'se', 'caisse', 'falasse', 'o', 'era', 'pois', 'era', 'sempre', 'que', 'so', 'sera', 'só', 'pegou', 'é', 'aconteceu']","['mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', '-', '-', 'mesma classe e campo semântico diferente', '-', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', '-', '-', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', '-', 'mesma classe e campo semântico diferente', '-', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', '-', 'mesma classe e campo semântico diferente', '-', 'mesma classe e campo semântico diferente', '-', '-', '-', 'mesma classe e campo semântico diferente', '-', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente']",08:00,08:13,"[1.0, 1.0, 1.0, 0.0, 0.0, 0.5, 0.0, 0.5, 0.5, 1.0, 0.5, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.0, 1.0, 0.0, 0.5, 0.5, 0.0, 0.5, 0.0, 0.5, 0.0, 0.0, 0.5, 1.0, 0.0, 0.5, 0.5, 0.5]","['aceitavel', 'exata', 'exata', 'erro', 'erro', 'classe_correta', 'erro', 'classe_correta', 'classe_correta', 'exata', 'classe_correta', 'erro', 'erro', 'erro', 'classe_correta', 'classe_correta', 'classe_correta', 'erro', 'aceitavel', 'erro', 'classe_correta', 'classe_correta', 'erro', 'classe_correta', 'erro', 'classe_correta', 'erro', 'erro', 'classe_correta', 'grafia_incorreta', 'erro', 'classe_correta', 'classe_correta', 'classe_correta']",3,1,2,15,13,0,39.706
EST_159,CODAP,9,A,Memórias de um aprendiz de escritor,"['sabia', 'era', 'passou', 'cairia', 'podia', 'cair', 'falasse', 'chegou', 'alunos', 'voava', 'por', 'dele', 'que', 'mais', 'chegou', 'chegou', 'pulou', 'ficou', 'era', 'que', 'pousou', 'falamos', 'e', 'verdadeiro', 'viu', 'caiu', 'explodiu', 'pensava', 'falar', 'via', 'com', 'e', 'mostrou', 'falso']","['mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', '-', '-', '-', '-', '-', '-', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', '-', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', '-', '-', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', '-', '-', 'mesma classe e campo semântico diferente', '-']",08:01,08:12,"[1.0, 1.0, 1.0, 0.5, 0.5, 0.5, 0.5, 1.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 1.0, 0.5, 0.5, 0.5, 1.0, 0.0, 0.5, 0.5, 0.0, 0.0, 0.5, 1.0, 0.0, 1.0, 0.5, 0.5, 0.0, 0.0, 0.5, 0.0]","['exata', 'exata', 'aceitavel', 'classe_correta', 'classe_correta', 'classe_correta', 'classe_correta', 'aceitavel', 'erro', 'classe_correta', 'erro', 'erro', 'erro', 'erro', 'exata', 'classe_correta', 'classe_correta', 'classe_correta', 'exata', 'erro', 'classe_correta', 'classe_correta', 'erro', 'erro', 'classe_correta', 'aceitavel', 'erro', 'aceitavel', 'classe_correta', 'classe_correta', 'erro', 'erro', 'classe_correta', 'erro']",4,0,4,14,12,0,44.118
EST_160,CODAP,9,B,Memórias de um aprendiz de escritor,"['tudo', 'falava', 'falou', 'ir', 'e', 'ele', 'era', 'ele', 'era', 'havia', 'em', 'dele', 'o', 'é', 'vai', 'vai', 'porque', 'ele', 'falava', 'a', 'dele', 'o', 'era', 'podia', 'falou', 'era', 'é', 'disse', 'é', 'a', 'a', 'é', 'a', 'falou']","['-', '-', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', '-', '-', 'mesma classe e campo semântico diferente', '-', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', '-', '-', '-', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', '-', '-', 'mesma classe e campo semântico diferente', '-', '-', '-', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', '-', '-', 'mesma classe e campo semântico diferente', '-', 'mesma classe e campo semântico diferente']",08:00,08:06,"[0.0, 1.0, 0.5, 0.5, 0.0, 0.0, 0.5, 0.0, 0.5, 0.5, 0.0, 0.0, 0.0, 1.0, 0.5, 0.5, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.5, 0.5, 1.0, 0.5, 0.0, 0.5, 0.5, 0.0, 0.0, 1.0, 0.0, 0.5]","['erro', 'aceitavel', 'classe_correta', 'classe_correta', 'erro', 'erro', 'classe_correta', 'erro', 'classe_correta', 'classe_correta', 'erro', 'erro', 'erro', 'aceitavel', 'classe_correta', 'classe_correta', 'erro', 'erro', 'aceitavel', 'erro', 'erro', 'erro', 'classe_correta', 'classe_correta', 'aceitavel', 'classe_correta', 'erro', 'classe_correta', 'classe_correta', 'erro', 'erro', 'aceitavel', 'erro', 'classe_correta']",0,0,5,13,16,0,33.824
EST_161,CODAP,9,A,Memórias de um aprendiz de escritor,"['falava', 'era', 'deu', 'chegaria', 'pousaria', 'fomos', 'falamos', 'chegou', 'dizendo', 'estava', 'caiu', 'sobreviveu', 'com', 'e', 'chega', 'foi', 'acreditou', 'ficou', 'era', 'viu', 'caindo', 'sabia', 'em', 'acreditava', 'viu', 'caiu', 'incendiou', 'acreditava', 'viu', 'era', 'com', 'tornou', 'escrevendo', 'via']","['mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', '-', '-', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', '-', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', '-', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente']",08:01,08:11,"[1.0, 1.0, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 0.5, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.5, 0.5, 0.5, 1.0, 0.5, 1.0, 0.5, 0.0, 0.5, 0.5, 1.0, 1.0, 1.0, 0.5, 1.0, 0.0, 1.0, 1.0, 1.0]","['aceitavel', 'exata', 'exata', 'classe_correta', 'aceitavel', 'exata', 'aceitavel', 'aceitavel', 'classe_correta', 'exata', 'exata', 'aceitavel', 'erro', 'erro', 'aceitavel', 'classe_correta', 'classe_correta', 'classe_correta', 'exata', 'classe_correta', 'aceitavel', 'classe_correta', 'erro', 'classe_correta', 'classe_correta', 'aceitavel', 'grafia_incorreta', 'exata', 'classe_correta', 'exata', 'erro', 'aceitavel', 'grafia_incorreta', 'aceitavel']",8,2,10,10,4,0,73.529
EST_162,CODAP,9,B,Memórias de um aprendiz de escritor,"['sabia', 'era', 'espalhou', 'mecanicos', 'seria', 'iria', 'falavam', 'chegou', 'estava', 'estava', 'ben', 'cairia', 'caia', 'foi', 'toda', 'caiu', 'pensou', 'estava', 'falou', 'falou', 'continuava', 'aconteceu', 'todos', 'falou', 'pararia', 'voaria', 'viveria', 'pensou', 'falou', 'ocorreu', 'tinha', 'para', 'aconteceu', 'imaginou']","['mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', '-', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', '-', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', '-', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', '-', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', '-', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente']",08:00,08:09,"[1.0, 1.0, 1.0, 0.0, 1.0, 0.5, 1.0, 1.0, 0.5, 1.0, 0.0, 0.5, 0.5, 1.0, 0.0, 0.5, 0.5, 0.5, 0.5, 0.5, 1.0, 0.5, 0.0, 0.5, 0.5, 1.0, 0.0, 0.5, 0.5, 0.5, 0.5, 0.0, 0.5, 0.5]","['exata', 'exata', 'aceitavel', 'erro', 'aceitavel', 'classe_correta', 'aceitavel', 'aceitavel', 'classe_correta', 'exata', 'erro', 'classe_correta', 'classe_correta', 'exata', 'erro', 'classe_correta', 'classe_correta', 'classe_correta', 'classe_correta', 'classe_correta', 'aceitavel', 'classe_correta', 'erro', 'classe_correta', 'classe_correta', 'aceitavel', 'erro', 'classe_correta', 'classe_correta', 'classe_correta', 'classe_correta', 'erro', 'classe_correta', 'classe_correta']",4,0,6,18,6,0,55.882
EST_163,CODAP,9,B,Memórias de um aprendiz de escritor,"['falava', 'era', 'dizia', 'caira', 'ou', 'alunos', 'dessesperador', 'menino', 'amigo', 'está', 'caira', 'faleceu', 'após', 'menino', 'disse', 'está', 'vivo', 'está ', 'era', 'após', 'caiu', 'aconteceu', 'era', 'gostou', 'queria', 'voava', 'vova', 'dizia', 'esse', 'era', 'somente', 'ele', 'nomeou', 'mentiroso']","['mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', '-', '-', '-', '-', '-', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', '-', '-', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', '-', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', '-', 'mesma classe e mesmo campo semântico', '-', '-', 'mesma classe e campo semântico diferente', '-']",08:00,08:14,"[1.0, 1.0, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 1.0, 0.0, 0.0, 0.5, 0.5, 0.0, 0.5, 1.0, 0.0, 1.0, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 1.0, 0.0, 1.0, 0.0, 0.0, 0.5, 0.0]","['aceitavel', 'exata', 'classe_correta', 'classe_correta', 'erro', 'erro', 'erro', 'erro', 'erro', 'classe_correta', 'classe_correta', 'aceitavel', 'erro', 'erro', 'classe_correta', 'classe_correta', 'erro', 'classe_correta', 'exata', 'erro', 'grafia_incorreta', 'classe_correta', 'classe_correta', 'classe_correta', 'classe_correta', 'classe_correta', 'classe_correta', 'aceitavel', 'erro', 'exata', 'erro', 'erro', 'classe_correta', 'erro']",3,1,3,14,13,0,41.176
EST_164,CODAP,9,B,Memórias de um aprendiz de escritor,"['sabia', 'era', 'com', '-', 'Em', 'sobro', 'outros', 'soube', 'humilhado', 'está', 'sobre', 'livrou', 'caiu', 'Sobre', 'havia', 'Tinha', 'sobrou', 'está', 'sabia', 'na', 'caiu', 'ocorreu', 'varios', 'imaginaria', '-', 'caiu', 'incendiado', 'precisava', 'muito', 'o', 'ficou', 'e', 'lamentou', 'aconteceu']","['mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', '-', '-', '-', 'mesma classe e campo semântico diferente', '-', 'mesma classe e campo semântico diferente', '-', 'mesma classe e campo semântico diferente', '-', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', '-', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', '-', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', '-', 'mesma classe e campo semântico diferente', '-', 'mesma classe e mesmo campo semântico', '-', 'mesma classe e campo semântico diferente', '-', '-', 'mesma classe e campo semântico diferente', '-', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente']",08:00,08:06,"[1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.0, 1.0, 0.5, 0.0, 0.5, 0.5, 0.5, 0.5, 1.0, 0.0, 1.0, 0.5, 0.0, 0.5, 0.0, 1.0, 1.0, 0.5, 0.0, 0.0, 0.5, 0.0, 0.5, 0.5]","['exata', 'exata', 'erro', 'branco', 'erro', 'erro', 'erro', 'classe_correta', 'classe_correta', 'classe_correta', 'erro', 'aceitavel', 'classe_correta', 'erro', 'classe_correta', 'classe_correta', 'classe_correta', 'classe_correta', 'aceitavel', 'erro', 'grafia_incorreta', 'classe_correta', 'erro', 'classe_correta', 'branco', 'aceitavel', 'grafia_incorreta', 'classe_correta', 'erro', 'erro', 'classe_correta', 'erro', 'classe_correta', 'classe_correta']",2,2,3,14,11,2,41.176
EST_165,CODAP,9,B,Memórias de um aprendiz de escritor,"['acredita', 'é', 'deu', 'descia', 'Em', 'olhavam ', 'aterrorizados', 'disse', 'muito', 'pousava', 'bem', 'sobreviveu', 'quanto', 'Até', 'ouviram', 'pousou', 'aliviado', 'estava', 'era', 'era', 'imaginário', 'soube', 'de', 'percebeu', 'entendeu', 'caia', 'incendiava', 'pensou', 'olhava', 'é', 'pegou', 'virou', 'falou', 'pensava']","['mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', '-', 'mesma classe e campo semântico diferente', '-', 'mesma classe e campo semântico diferente', '-', 'mesma classe e campo semântico diferente', '-', 'mesma classe e mesmo campo semântico', '-', '-', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', '-', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', '-', 'mesma classe e campo semântico diferente', '-', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente']",08:00,08:19,"[0.5, 1.0, 1.0, 1.0, 0.0, 0.5, 0.5, 0.5, 0.0, 0.5, 0.0, 1.0, 0.0, 0.0, 0.5, 1.0, 0.5, 0.5, 1.0, 0.5, 0.0, 0.5, 0.0, 0.5, 0.5, 1.0, 1.0, 0.5, 0.5, 0.5, 0.5, 1.0, 0.5, 1.0]","['classe_correta', 'aceitavel', 'exata', 'aceitavel', 'erro', 'classe_correta', 'classe_correta', 'classe_correta', 'erro', 'classe_correta', 'erro', 'aceitavel', 'erro', 'erro', 'classe_correta', 'aceitavel', 'classe_correta', 'classe_correta', 'exata', 'classe_correta', 'erro', 'classe_correta', 'erro', 'classe_correta', 'classe_correta', 'aceitavel', 'grafia_incorreta', 'classe_correta', 'classe_correta', 'classe_correta', 'classe_correta', 'aceitavel', 'classe_correta', 'aceitavel']",2,1,7,17,7,0,54.412
EST_166,CODAP,9,A,Memórias de um aprendiz de escritor,"['viu', 'era', 'falou', 'aerea', 'que', 'mas', 'noite', 'era', 'estava', 'estava', 'foi', 'morre', 'quando', 'mas', 'toda', 'caiu', 'viu', 'estava', 'tinha', 'viu', 'caiu', 'era', 'viu', 'mentiu', '-', 'caiu', '-', 'acreditou', 'viu', 'ele', 'era', 'e', 'mostrou', 'viu']","['mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', '-', '-', '-', '-', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', '-', '-', '-', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', '-', 'mesma classe e mesmo campo semântico', '-', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', '-', 'mesma classe e campo semântico diferente', '-', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente']",08:01,08:12,"[0.5, 1.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 1.0, 0.5, 1.0, 0.0, 0.0, 0.0, 0.5, 1.0, 0.5, 1.0, 0.5, 1.0, 0.5, 0.5, 1.0, 0.0, 1.0, 0.0, 1.0, 0.5, 0.0, 0.5, 0.0, 0.5, 0.5]","['classe_correta', 'exata', 'classe_correta', 'erro', 'erro', 'erro', 'erro', 'classe_correta', 'classe_correta', 'exata', 'classe_correta', 'aceitavel', 'erro', 'erro', 'erro', 'classe_correta', 'grafia_incorreta', 'classe_correta', 'aceitavel', 'classe_correta', 'grafia_incorreta', 'classe_correta', 'classe_correta', 'exata', 'branco', 'aceitavel', 'branco', 'grafia_incorreta', 'classe_correta', 'erro', 'classe_correta', 'erro', 'classe_correta', 'classe_correta']",3,3,3,14,9,2,47.059
EST_167,CODAP,9,B,Memórias de um aprendiz de escritor,"['acreditava', 'era', 'contou', 'ia', 'cairia', 'Fui', 'pensando', 'contou', 'muito', 'estava', 'pegou', 'morreu', 'viu', 'Foi', 'entrou', 'estava', 'aliviado', 'estava', 'era', 'noticia', 'caiu', 'penso', 'penso', 'mentio', 'acreditava', 'pego', 'foi', 'acreditava', 'falava', 'era', 'com', 'nasceu', 'pensou', 'imaginação']","['mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', '-', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', '-', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', '-', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', '-', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', '-']",08:00,08:18,"[1.0, 1.0, 1.0, 0.5, 1.0, 1.0, 0.5, 0.5, 0.0, 1.0, 0.5, 1.0, 0.5, 1.0, 1.0, 0.5, 0.5, 0.5, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 0.5, 0.0, 1.0, 1.0, 1.0, 0.0, 0.5, 0.5, 0.0]","['aceitavel', 'exata', 'aceitavel', 'classe_correta', 'exata', 'aceitavel', 'classe_correta', 'classe_correta', 'erro', 'exata', 'classe_correta', 'aceitavel', 'classe_correta', 'exata', 'aceitavel', 'classe_correta', 'classe_correta', 'classe_correta', 'exata', 'classe_correta', 'grafia_incorreta', 'aceitavel', 'aceitavel', 'grafia_incorreta', 'aceitavel', 'classe_correta', 'erro', 'exata', 'aceitavel', 'exata', 'erro', 'classe_correta', 'classe_correta', 'erro']",7,2,9,12,4,0,70.588
