discente,ano,turma,lacuna_1,classificacao_1,correcao_1,lacuna_2,classificacao_2,correcao_2,lacuna_3,classificacao_3,correcao_3,lacuna_4,classificacao_4,correcao_4,lacuna_5,classificacao_5,correcao_5,lacuna_6,classificacao_6,correcao_6,lacuna_7,classificacao_7,correcao_7,lacuna_8,classificacao_8,correcao_8,lacuna_9,classificacao_9,correcao_9,lacuna_10,classificacao_10,correcao_10,lacuna_11,classificacao_11,correcao_11,lacuna_12,classificacao_12,correcao_12,lacuna_13,classificacao_13,correcao_13,lacuna_14,classificacao_14,correcao_14,lacuna_15,classificacao_15,correcao_15,lacuna_16,classificacao_16,correcao_16,lacuna_17,classificacao_17,correcao_17,lacuna_18,classificacao_18,correcao_18,lacuna_19,classificacao_19,correcao_19,lacuna_20,classificacao_20,correcao_20,lacuna_21,classificacao_21,correcao_21,lacuna_22,classificacao_22,correcao_22,lacuna_23,classificacao_23,correcao_23,lacuna_24,classificacao_24,correcao_24,lacuna_25,classificacao_25,correcao_25,lacuna_26,classificacao_26,correcao_26,lacuna_27,classificacao_27,correcao_27,lacuna_28,classificacao_28,correcao_28,lacuna_29,classificacao_29,correcao_29,lacuna_30,classificacao_30,correcao_30,lacuna_31,classificacao_31,correcao_31,lacuna_32,classificacao_32,correcao_32,lacuna_33,classificacao_33,correcao_33,lacuna_34,classificacao_34,correcao_34,texto,tempo_inicial,tempo_final
EST_158,9,B,via,verbo,mesma classe e campo semântico diferente,era,verbo,mesma classe e mesmo campo semântico,deu,verbo,mesma classe e mesmo campo semântico,que,pronome relativo,-,que,pronome relativo,-,poderia,verbo,mesma classe e campo semântico diferente,quanto,pronome relativo,-,viu,verbo,mesma classe e campo semântico diferente,ficou,verbo,mesma classe e campo semântico diferente,estava,verbo,mesma classe e mesmo campo semântico,caira,verbo,mesma classe e mesmo campo semântico,morerria,verbo,mesma classe e campo semântico diferente,também,advérbio de inclusão,-,e,conjunção aditiva,-,caio,verbo,mesma classe e campo semântico diferente,seram,verbo,mesma classe e campo semântico diferente,parou,verbo,mesma classe e campo semântico diferente,não,advérbio de negação,-,falava,verbo,mesma classe e campo semântico diferente,se,conjunção condicional,-,caisse,verbo,mesma classe e campo semântico diferente,falasse,verbo,mesma classe e campo semântico diferente,o,artigo definido,-,era,verbo,mesma classe e campo semântico diferente,pois,conjunção explicativa,-,era,verbo,mesma classe e campo semântico diferente,sempre,advérbio de tempo,-,que,pronome relativo,-,so,advérbio de exclusão,-,sera,verbo,mesma classe e campo semântico diferente,só,advérbio de exclusão,-,pegou,verbo,mesma classe e campo semântico diferente,é,verbo,mesma classe e campo semântico diferente,aconteceu,verbo,mesma classe e campo semântico diferente,Memórias de um aprendiz de escritor,08:00,08:13
EST_159,9,A,sabia,verbo,mesma classe e mesmo campo semântico,era,verbo,mesma classe e mesmo campo semântico,passou,verbo,mesma classe e campo semântico diferente,cairia,verbo,mesma classe e campo semântico diferente,podia,verbo,mesma classe e campo semântico diferente,cair,verbo,mesma classe e campo semântico diferente,falasse,verbo,mesma classe e campo semântico diferente,chegou,verbo,mesma classe e mesmo campo semântico,alunos,nome substantivo,-,voava,verbo,-,por,preposição,-,dele,contração,-,que,conjunção integrativa,-,mais,conjunção adversativa,-,chegou,verbo,mesma classe e mesmo campo semântico,chegou,verbo,mesma classe e campo semântico diferente,pulou,verbo,mesma classe e campo semântico diferente,ficou,verbo,mesma classe e campo semântico diferente,era,verbo,mesma classe e mesmo campo semântico,que,conjunção integrativa,-,pousou,verbo,mesma classe e campo semântico diferente,falamos,verbo,mesma classe e campo semântico diferente,e,conjunção aditiva,-,verdadeiro,adjetivo,-,viu,verbo,mesma classe e mesmo campo semântico,caiu,verbo,mesma classe e mesmo campo semântico,explodiu,verbo,mesma classe e mesmo campo semântico,pensava,verbo,mesma classe e mesmo campo semântico,falar,verbo,mesma classe e campo semântico diferente,via,verbo,mesma classe e campo semântico diferente,com,preposição,-,e,conjunção aditiva,-,mostrou,verbo,mesma classe e campo semântico diferente,falso,adjetivo,-,Memórias de um aprendiz de escritor,08:01,08:12
EST_160,9,B,tudo,pronome indefinido,-,falava,verbo,-,falou,verbo,mesma classe e campo semântico diferente,ir,verbo,mesma classe e campo semântico diferente,e,conjunção aditiva,-,ele,pronome pessoal,-,era,verbo,mesma classe e campo semântico diferente,ele,pronome pessoal,-,era,verbo,mesma classe e campo semântico diferente,havia,verbo,mesma classe e campo semântico diferente,em,preposição,-,dele,contração,-,o,artigo definido,-,é,verbo,mesma classe e campo semântico diferente,vai,verbo,mesma classe e campo semântico diferente,vai,verbo,mesma classe e campo semântico diferente,porque,conjunção explicativa,-,ele,pronome pessoal,-,falava,verbo,mesma classe e campo semântico diferente,a,preposição,-,dele,contração,-,o,artigo definido,-,era,verbo,mesma classe e campo semântico diferente,podia,verbo,mesma classe e campo semântico diferente,falou,verbo,mesma classe e campo semântico diferente,era,verbo,mesma classe e campo semântico diferente,é,verbo,mesma classe e campo semântico diferente,disse,verbo,mesma classe e campo semântico diferente,é,verbo,mesma classe e campo semântico diferente,a,preposição,-,a,preposição,-,é,verbo,mesma classe e campo semântico diferente,a,artigo definido,-,falou,verbo,mesma classe e campo semântico diferente,Memórias de um aprendiz de escritor,08:00,08:06
EST_161,9,A,falava,verbo,mesma classe e campo semântico diferente,era,verbo,mesma classe e mesmo campo semântico,deu,verbo,mesma classe e mesmo campo semântico,chegaria,verbo,mesma classe e campo semântico diferente,pousaria,verbo,mesma classe e campo semântico diferente,fomos,verbo,mesma classe e mesmo campo semântico,falamos,verbo,mesma classe e campo semântico diferente,chegou,verbo,mesma classe e mesmo campo semântico,dizendo,verbo,mesma classe e campo semântico diferente,estava,verbo,mesma classe e mesmo campo semântico,caiu,verbo,mesma classe e mesmo campo semântico,sobreviveu,verbo,mesma classe e mesmo campo semântico,com,preposição,-,e,conjunção aditiva,-,chega,verbo,mesma classe e campo semântico diferente,foi,verbo,mesma classe e campo semântico diferente,acreditou,verbo,mesma classe e campo semântico diferente,ficou,verbo,mesma classe e campo semântico diferente,era,verbo,mesma classe e mesmo campo semântico,viu,verbo,mesma classe e mesmo campo semântico,caindo,verbo,mesma classe e campo semântico diferente,sabia,verbo,mesma classe e campo semântico diferente,em,preposição,-,acreditava,verbo,mesma classe e campo semântico diferente,viu,verbo,mesma classe e mesmo campo semântico,caiu,verbo,mesma classe e mesmo campo semântico,incendiou,verbo,mesma classe e mesmo campo semântico,acreditava,verbo,mesma classe e mesmo campo semântico,viu,verbo,mesma classe e campo semântico diferente,era,verbo,mesma classe e mesmo campo semântico,com,preposição,-,tornou,verbo,mesma classe e campo semântico diferente,escrevendo,verbo,mesma classe e campo semântico diferente,via,verbo,mesma classe e campo semântico diferente,Memórias de um aprendiz de escritor,08:01,08:11
EST_162,9,B,sabia,verbo,mesma classe e mesmo campo semântico,era,verbo,mesma classe e mesmo campo semântico,espalhou,verbo,mesma classe e mesmo campo semântico,mecanicos,nome substantivo,-,seria,verbo,mesma classe e campo semântico diferente,iria,verbo,mesma classe e campo semântico diferente,falavam,verbo,mesma classe e campo semântico diferente,chegou,verbo,mesma classe e mesmo campo semântico,estava,verbo,mesma classe e campo semântico diferente,estava,verbo,mesma classe e mesmo campo semântico,ben,advérbio de modo,-,cairia,verbo,mesma classe e campo semântico diferente,caia,verbo,mesma classe e campo semântico diferente,foi,verbo,mesma classe e mesmo campo semântico,toda,adjetivo,-,caiu,verbo,mesma classe e campo semântico diferente,pensou,verbo,mesma classe e campo semântico diferente,estava,verbo,mesma classe e campo semântico diferente,falou,verbo,mesma classe e campo semântico diferente,falou,verbo,mesma classe e campo semântico diferente,continuava,verbo,mesma classe e campo semântico diferente,aconteceu,verbo,mesma classe e campo semântico diferente,todos,pronome indefinido,-,falou,verbo,mesma classe e campo semântico diferente,pararia,verbo,mesma classe e campo semântico diferente,voaria,verbo,mesma classe e campo semântico diferente,viveria,verbo,mesma classe e campo semântico diferente,pensou,verbo,mesma classe e campo semântico diferente,falou,verbo,mesma classe e campo semântico diferente,ocorreu,verbo,mesma classe e campo semântico diferente,tinha,verbo,mesma classe e campo semântico diferente,para,preposição,-,aconteceu,verbo,mesma classe e campo semântico diferente,imaginou,verbo,mesma classe e campo semântico diferente,Memórias de um aprendiz de escritor,08:00,08:09
EST_163,9,B,falava,verbo,mesma classe e campo semântico diferente,era,verbo,mesma classe e mesmo campo semântico,dizia,verbo,mesma classe e campo semântico diferente,caira,verbo,mesma classe e campo semântico diferente,ou,conjunção alternativa,-,alunos,nome substantivo,-,dessesperador,adjetivo,-,menino,nome substantivo,-,amigo,nome substantivo,-,está,verbo,mesma classe e campo semântico diferente,caira,verbo,mesma classe e mesmo campo semântico,faleceu,verbo,mesma classe e campo semântico diferente,após,advérbio de tempo,-,menino,nome substantivo,-,disse,verbo,mesma classe e campo semântico diferente,está,verbo,mesma classe e campo semântico diferente,vivo,verbo,mesma classe e campo semântico diferente,está ,verbo,mesma classe e campo semântico diferente,era,verbo,mesma classe e mesmo campo semântico,após,advérbio de tempo,-,caiu,verbo,mesma classe e campo semântico diferente,aconteceu,verbo,mesma classe e campo semântico diferente,era,verbo,mesma classe e campo semântico diferente,gostou,verbo,mesma classe e campo semântico diferente,queria,verbo,mesma classe e campo semântico diferente,voava,verbo,mesma classe e campo semântico diferente,vova,verbo,mesma classe e campo semântico diferente,dizia,verbo,mesma classe e campo semântico diferente,esse,pronome demonstrativo,-,era,verbo,mesma classe e mesmo campo semântico,somente,advérbio de modo,-,ele,pronome pessoal,-,nomeou,verbo,mesma classe e campo semântico diferente,mentiroso,adjetivo,-,Memórias de um aprendiz de escritor,08:00,08:14
EST_164,9,B,sabia,verbo,mesma classe e mesmo campo semântico,era,verbo,mesma classe e mesmo campo semântico,com,preposição,-,-,-,-,Em,preposição,-,sobro,verbo,mesma classe e campo semântico diferente,outros,pronome indefinido,-,soube,verbo,mesma classe e campo semântico diferente,humilhado,adjetivo,-,está,verbo,mesma classe e campo semântico diferente,sobre,preposição,-,livrou,verbo,mesma classe e mesmo campo semântico,caiu,verbo,mesma classe e campo semântico diferente,Sobre,preposição,-,havia,verbo,mesma classe e campo semântico diferente,Tinha,verbo,mesma classe e campo semântico diferente,sobrou,verbo,mesma classe e campo semântico diferente,está,verbo,mesma classe e campo semântico diferente,sabia,verbo,mesma classe e campo semântico diferente,na,contração,-,caiu,verbo,mesma classe e campo semântico diferente,ocorreu,verbo,mesma classe e campo semântico diferente,varios,pronome indefinido,-,imaginaria,verbo,mesma classe e campo semântico diferente,-,-,-,caiu,verbo,mesma classe e mesmo campo semântico,incendiado,adjetivo,-,precisava,verbo,mesma classe e campo semântico diferente,muito,advérbio de intensidade,-,o,artigo definido,-,ficou,verbo,mesma classe e campo semântico diferente,e,conjunção aditiva,-,lamentou,verbo,mesma classe e campo semântico diferente,aconteceu,verbo,mesma classe e campo semântico diferente,Memórias de um aprendiz de escritor,08:00,08:06
EST_165,9,B,acredita,verbo,mesma classe e campo semântico diferente,é,verbo,mesma classe e campo semântico diferente,deu,verbo,mesma classe e mesmo campo semântico,descia,verbo,mesma classe e campo semântico diferente,Em,preposição,-,olhavam ,verbo,mesma classe e campo semântico diferente,aterrorizados,adjetivo,-,disse,verbo,mesma classe e campo semântico diferente,muito,advérbio de intensidade,-,pousava,verbo,mesma classe e campo semântico diferente,bem,advérbio de modo,-,sobreviveu,verbo,mesma classe e mesmo campo semântico,quanto,pronome relativo,-,Até,preposição,-,ouviram,verbo,mesma classe e campo semântico diferente,pousou,verbo,mesma classe e mesmo campo semântico,aliviado,adjetivo,-,estava,verbo,mesma classe e campo semântico diferente,era,verbo,mesma classe e mesmo campo semântico,era,verbo,mesma classe e campo semântico diferente,imaginário,adjetivo,-,soube,verbo,mesma classe e campo semântico diferente,de,preposição,-,percebeu,verbo,mesma classe e campo semântico diferente,entendeu,verbo,mesma classe e campo semântico diferente,caia,verbo,mesma classe e campo semântico diferente,incendiava,verbo,mesma classe e campo semântico diferente,pensou,verbo,mesma classe e campo semântico diferente,olhava,verbo,mesma classe e campo semântico diferente,é,verbo,mesma classe e campo semântico diferente,pegou,verbo,mesma classe e campo semântico diferente,virou,verbo,mesma classe e campo semântico diferente,falou,verbo,mesma classe e campo semântico diferente,pensava,verbo,mesma classe e campo semântico diferente,Memórias de um aprendiz de escritor,08:00,08:19
EST_166,9,A,viu,verbo,mesma classe e campo semântico diferente,era,verbo,mesma classe e mesmo campo semântico,falou,verbo,mesma classe e campo semântico diferente,aerea,nome substantivo,-,que,pronome relativo,-,mas,conjunção adversativa,-,noite,nome substantivo,-,era,verbo,mesma classe e campo semântico diferente,estava,verbo,mesma classe e campo semântico diferente,estava,verbo,mesma classe e mesmo campo semântico,foi,verbo,mesma classe e campo semântico diferente,morre,verbo,mesma classe e campo semântico diferente,quando,conjunção temporal,-,mas,conjunção adversativa,-,toda,adjetivo,-,caiu,verbo,mesma classe e campo semântico diferente,viu,verbo,mesma classe e campo semântico diferente,estava,verbo,mesma classe e campo semântico diferente,tinha,verbo,mesma classe e campo semântico diferente,viu,verbo,mesma classe e mesmo campo semântico,caiu,verbo,mesma classe e mesmo campo semântico,era,verbo,mesma classe e campo semântico diferente,viu,verbo,mesma classe e campo semântico diferente,mentiu,verbo,mesma classe e mesmo campo semântico,-,-,-,caiu,verbo,mesma classe e mesmo campo semântico,-,-,-,acreditou,verbo,mesma classe e campo semântico diferente,viu,verbo,mesma classe e campo semântico diferente,ele,pronome pessoal,-,era,verbo,mesma classe e campo semântico diferente,e,conjunção aditiva,-,mostrou,verbo,mesma classe e campo semântico diferente,viu,verbo,mesma classe e campo semântico diferente,Memórias de um aprendiz de escritor,08:01,08:12
EST_167,9,B,acreditava,verbo,mesma classe e campo semântico diferente,era,verbo,mesma classe e mesmo campo semântico,contou,verbo,mesma classe e campo semântico diferente,ia,verbo,mesma classe e campo semântico diferente,cairia,verbo,mesma classe e mesmo campo semântico,Fui,verbo,mesma classe e campo semântico diferente,pensando,verbo,mesma classe e campo semântico diferente,contou,verbo,mesma classe e campo semântico diferente,muito,advérbio de intensidade,-,estava,verbo,mesma classe e mesmo campo semântico,pegou,verbo,mesma classe e campo semântico diferente,morreu,verbo,mesma classe e campo semântico diferente,viu,verbo,mesma classe e campo semântico diferente,Foi,verbo,mesma classe e mesmo campo semântico,entrou,verbo,mesma classe e campo semântico diferente,estava,verbo,mesma classe e campo semântico diferente,aliviado,adjetivo,-,estava,verbo,mesma classe e campo semântico diferente,era,verbo,mesma classe e mesmo campo semântico,noticia,nome substantivo,-,caiu,verbo,mesma classe e mesmo campo semântico,penso,verbo,mesma classe e campo semântico diferente,penso,verbo,mesma classe e campo semântico diferente,mentio,verbo,mesma classe e mesmo campo semântico,acreditava,verbo,mesma classe e campo semântico diferente,pego,verbo,mesma classe e campo semântico diferente,foi,verbo,mesma classe e campo semântico diferente,acreditava,verbo,mesma classe e mesmo campo semântico,falava,verbo,mesma classe e campo semântico diferente,era,verbo,mesma classe e mesmo campo semântico,com,preposição,-,nasceu,verbo,mesma classe e campo semântico diferente,pensou,verbo,mesma classe e campo semântico diferente,imaginação,nome substantivo,-,Memórias de um aprendiz de escritor,08:00,08:18
