discente,escola,ano,turma,texto,respostas,correcao_humana,tempo_inicial,tempo_final,pontuacao,correcao,exata,grafia_incorreta,aceitavel,classe_correta,erro,branco,compreensao
EST_61,CODAP,7,B,Frustração,"['tinha', 'teve', 'tinham', 'viajar', 'eles', 'foram', 'tiveram', 'perguntam', 'se', 'mostraram', 'tiveram', 'todos', 'todas', 'como', 'sabendo', 'descobre', 'fica', 'percebe', 'tem', 'estavam', 'com', 'com', 'viajem', 'todos', 'só', 'percebeu', 'realiza', 'saia', 'fazia', 'compra', 'mostra']","['mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', '-', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', '-', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', '-', '-', '-', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', '-', '-', 'mesma classe e campo semântico diferente', '-', '-', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente']",08:01,08:13,"[1.0, 0.5, 0.5, 1.0, 0.0, 0.5, 1.0, 1.0, 0.0, 0.5, 0.5, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 1.0, 0.5, 1.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.5, 0.5, 1.0, 1.0, 1.0, 0.5]","['aceitavel', 'classe_correta', 'classe_correta', 'exata', 'erro', 'classe_correta', 'aceitavel', 'aceitavel', 'erro', 'classe_correta', 'classe_correta', 'erro', 'erro', 'erro', 'classe_correta', 'classe_correta', 'classe_correta', 'aceitavel', 'classe_correta', 'aceitavel', 'erro', 'erro', 'classe_correta', 'erro', 'erro', 'classe_correta', 'classe_correta', 'aceitavel', 'exata', 'grafia_incorreta', 'classe_correta']",2,1,6,13,9,0,50.0
EST_62,CODAP,7,A,Frustração,"['era', 'trabalhava', 'tinham', 'viajar', 'falar', 'era', 'idealizaram', '-', '-', '-', '-', '-', '-', 'também', 'entendendo', '-', '-', '-', 'viajaram', 'ficaram', 'recolhem', 'adquiriu', 'ficavam', 'com', 'carimbam', 'escutando', '-', 'fora', 'fez', 'comprou', 'devolvem']","['mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', '-', '-', '-', '-', '-', '-', '-', 'mesma classe e campo semântico diferente', '-', '-', '-', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', '-', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', '-', '-', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente']",08:06,08:28,"[1.0, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 1.0, 1.0, 0.5, 0.5, 1.0, 0.0, 0.5, 0.5, 0.0, 0.0, 1.0, 1.0, 0.5]","['exata', 'exata', 'classe_correta', 'exata', 'aceitavel', 'exata', 'aceitavel', 'branco', 'branco', 'branco', 'branco', 'branco', 'branco', 'erro', 'classe_correta', 'branco', 'branco', 'branco', 'grafia_incorreta', 'grafia_incorreta', 'classe_correta', 'classe_correta', 'grafia_incorreta', 'erro', 'classe_correta', 'classe_correta', 'branco', 'erro', 'aceitavel', 'aceitavel', 'classe_correta']",4,3,4,7,3,10,46.774
EST_63,CODAP,7,A,Frustração,"['era', 'trabalhava', 'tinha', 'viaja', 'conta', 'era', '-', 'ia', 'dizer', '-', 'os', 'chamaram', 'tira', 'contaram', 'queria', '-', 'o', 'que', 'é', 'ficaram', 'e', 'pega', 'junto', 'e', '-', 'escrevia', 'leva', 'que', 'tinha', 'fez', 'envior']","['mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', '-', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', '-', '-', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', '-', '-', '-', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', '-', 'mesma classe e campo semântico diferente', '-', '-', '-', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', '-', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente']",08:06,08:18,"[1.0, 1.0, 0.5, 1.0, 1.0, 1.0, 0.0, 0.5, 1.0, 0.0, 0.0, 1.0, 0.5, 1.0, 0.5, 0.0, 0.0, 0.0, 0.5, 1.0, 0.0, 0.5, 0.0, 0.0, 0.0, 1.0, 0.5, 0.0, 0.5, 0.5, 0.0]","['exata', 'exata', 'classe_correta', 'grafia_incorreta', 'grafia_incorreta', 'exata', 'branco', 'classe_correta', 'aceitavel', 'branco', 'erro', 'aceitavel', 'classe_correta', 'grafia_incorreta', 'classe_correta', 'branco', 'erro', 'erro', 'classe_correta', 'grafia_incorreta', 'erro', 'classe_correta', 'erro', 'erro', 'branco', 'aceitavel', 'classe_correta', 'erro', 'classe_correta', 'classe_correta', 'erro']",3,4,3,9,8,4,46.774
EST_64,CODAP,7,B,Frustração,"['era', 'era', 'tinha', 'comer', 'contar', 'era', 'em', 'foram', 'falar', 'compraram', 'viram', 'todos', 'ver', 'contaram', 'contou', 'viu', 'ficou', 'disso', 'contou', 'estavam', 'tinham', 'pegou', 'numa', 'pegou', 'viu', 'contou', 'paga', 'chegou', 'assistiu', 'fez', 'viu']","['mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', '-', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', '-', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', '-', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', '-', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente']",08:01,08:20,"[1.0, 1.0, 0.5, 0.5, 1.0, 1.0, 0.0, 0.5, 1.0, 1.0, 0.5, 0.0, 1.0, 1.0, 1.0, 0.5, 0.5, 0.0, 0.5, 1.0, 0.5, 0.5, 0.0, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","['exata', 'aceitavel', 'classe_correta', 'classe_correta', 'exata', 'exata', 'erro', 'classe_correta', 'aceitavel', 'aceitavel', 'classe_correta', 'erro', 'aceitavel', 'grafia_incorreta', 'aceitavel', 'classe_correta', 'classe_correta', 'erro', 'classe_correta', 'aceitavel', 'classe_correta', 'classe_correta', 'erro', 'classe_correta', 'classe_correta', 'classe_correta', 'classe_correta', 'classe_correta', 'classe_correta', 'classe_correta', 'classe_correta']",3,1,6,17,4,0,59.677
EST_65,CODAP,7,A,Frustração,"['era', 'era', 'teve', 'viajar', 'contar', 'era', 'teve', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', 'ficavam', 'entregava', '-', '-', '-', '-', '-', '-', 'chegando', 'tinha', 'pegava', 'pegava']","['mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', '-', '-', '-', '-', '-', '-', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente']",08:06,08:16,"[1.0, 1.0, 0.5, 1.0, 1.0, 1.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 1.0, 0.5]","['exata', 'aceitavel', 'classe_correta', 'exata', 'exata', 'exata', 'classe_correta', 'branco', 'branco', 'branco', 'branco', 'branco', 'branco', 'branco', 'branco', 'branco', 'branco', 'branco', 'branco', 'exata', 'aceitavel', 'branco', 'branco', 'branco', 'branco', 'branco', 'branco', 'classe_correta', 'classe_correta', 'aceitavel', 'classe_correta']",5,0,3,5,0,18,33.871
EST_66,CODAP,7,A,Frustração,"['é', 'é', 'tem', 'sair', 'falar', 'é', 'é', 'conta', '-', '-', '-', 'encontrar', 'mostra', 'conta', 'sabe', 'descobre', 'é', '-', '-', 'estâ', 'ver', 'ver', 'tem', '-', '-', 'conta', 'amigos', 'que', 'fes', '-', '-']","['mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', '-', '-', '-', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', '-', '-', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', '-', '-', 'mesma classe e campo semântico diferente', '-', '-', 'mesma classe e mesmo campo semântico', '-', '-']",08:06,08:26,"[1.0, 0.5, 0.5, 0.5, 1.0, 1.0, 0.5, 0.5, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.0, 0.0, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0]","['aceitavel', 'classe_correta', 'classe_correta', 'classe_correta', 'aceitavel', 'aceitavel', 'classe_correta', 'classe_correta', 'branco', 'branco', 'branco', 'classe_correta', 'classe_correta', 'classe_correta', 'classe_correta', 'classe_correta', 'classe_correta', 'branco', 'branco', 'erro', 'classe_correta', 'classe_correta', 'classe_correta', 'branco', 'branco', 'classe_correta', 'classe_correta', 'erro', 'erro', 'branco', 'branco']",0,0,3,16,3,9,35.484
EST_67,CODAP,7,A,Frustração,"['era', 'trabalhava', 'sobrava', 'viajarem', 'contar', 'era', 'tiveram', 'falaram', 'avisá-los', 'viajariam', 'enviar', 'avisaram', 'enviar', 'contas', 'tinha', 'sabia', 'era', 'então', 'sabendo', 'foram', 'lia', 'mostrava', 'era', 'nas', 'tinham', 'ouvia', 'acalmá', 'então', 'tinha', 'comprava', 'botava']","['mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', '-', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', '-', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', '-', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', '-', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico']",08:06,08:18,"[1.0, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 0.5, 1.0, 1.0, 1.0, 0.5, 0.5, 0.0, 0.5, 0.5, 0.5, 0.0, 0.5, 0.5, 1.0, 1.0, 0.5, 0.0, 0.5, 1.0, 0.5, 0.0, 0.5, 1.0, 1.0]","['exata', 'exata', 'classe_correta', 'grafia_incorreta', 'exata', 'exata', 'aceitavel', 'classe_correta', 'aceitavel', 'grafia_incorreta', 'aceitavel', 'classe_correta', 'classe_correta', 'erro', 'classe_correta', 'classe_correta', 'classe_correta', 'erro', 'classe_correta', 'classe_correta', 'aceitavel', 'aceitavel', 'classe_correta', 'erro', 'classe_correta', 'aceitavel', 'classe_correta', 'erro', 'classe_correta', 'exata', 'aceitavel']",5,2,7,13,4,0,66.129
EST_68,CODAP,7,A,Frustração,"['como', 'estava', 'tinha', 'finanças', 'contar', 'é', 'há', 'pediam', 'fotografar', 'enviavam', 'davam', 'convidou', 'todas', 'temos', 'tem', 'tem', 'ficou', 'daquilo', 'é', 'ficaram', 'pegou', 'tinha', 'estavam', 'E', 'pois', 'conta', 'passa', 'dentro', 'fez', 'tinha', 'guardava']","['-', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', '-', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', '-', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', '-', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', '-', '-', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', '-', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente']",08:06,08:19,"[0.0, 1.0, 0.5, 0.0, 1.0, 1.0, 0.5, 1.0, 0.5, 0.5, 0.5, 1.0, 0.0, 0.5, 0.5, 0.5, 0.5, 0.0, 0.5, 1.0, 0.5, 0.5, 0.5, 0.0, 0.0, 0.5, 0.5, 0.0, 1.0, 1.0, 1.0]","['erro', 'aceitavel', 'classe_correta', 'erro', 'exata', 'aceitavel', 'classe_correta', 'aceitavel', 'classe_correta', 'classe_correta', 'classe_correta', 'aceitavel', 'erro', 'classe_correta', 'classe_correta', 'classe_correta', 'classe_correta', 'erro', 'classe_correta', 'grafia_incorreta', 'classe_correta', 'classe_correta', 'classe_correta', 'erro', 'erro', 'classe_correta', 'classe_correta', 'erro', 'aceitavel', 'aceitavel', 'aceitavel']",1,1,7,15,7,0,53.226
EST_69,CODAP,7,A,Frustração,"['de', 'que', 'tinha', 'viajar', 'viajar', 'era', 'tinha', 'pediram', '-', '-', '-', 'foram', 'pedir', 'as', 'entendia', '-', '-', 'entendeu', 'havia', 'estão', 'e', 'tinha', 'estava', 'Mas', 'estava', '-', '-', 'ia', 'tinha', 'compraria', 'iria']","['-', '-', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', '-', '-', '-', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', '-', 'mesma classe e campo semântico diferente', '-', '-', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', '-', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', '-', 'mesma classe e campo semântico diferente', '-', '-', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente']",08:06,08:17,"[0.0, 0.0, 0.5, 1.0, 0.5, 1.0, 0.5, 0.5, 0.0, 0.0, 0.0, 0.5, 0.5, 0.0, 0.5, 0.0, 0.0, 0.5, 0.5, 0.5, 0.0, 0.5, 0.5, 0.0, 0.5, 0.0, 0.0, 0.5, 0.5, 1.0, 0.5]","['erro', 'erro', 'classe_correta', 'exata', 'classe_correta', 'exata', 'classe_correta', 'classe_correta', 'branco', 'branco', 'branco', 'classe_correta', 'classe_correta', 'erro', 'classe_correta', 'branco', 'branco', 'classe_correta', 'classe_correta', 'classe_correta', 'erro', 'classe_correta', 'classe_correta', 'erro', 'classe_correta', 'branco', 'branco', 'classe_correta', 'classe_correta', 'grafia_incorreta', 'classe_correta']",2,1,0,16,5,7,35.484
EST_70,CODAP,7,B,Frustração,"['é', 'trabalha', 'tiveram', 'viajar', 'contar', 'era', 'tinham', 'contavam', 'aonde', 'viajavam', 'entregavam', 'era', 'mostrar', 'contavam', 'sabia', 'soube', 'ficou', 'viajaram', 'viajavam', 'ficam', 'compra', 'edita', 'aparece', 'usam', 'colocando', 'escuta', 'decora', 'sai', 'faz', 'compra', 'abre']","['mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', '-', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente']",08:01,08:15,"[1.0, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.5, 0.5, 1.0, 1.0, 0.5, 0.5, 0.5, 1.0, 1.0, 0.5, 1.0, 0.5, 0.5, 0.5, 1.0, 0.5, 1.0, 1.0, 1.0, 0.5]","['aceitavel', 'grafia_incorreta', 'classe_correta', 'exata', 'exata', 'exata', 'aceitavel', 'aceitavel', 'erro', 'grafia_incorreta', 'aceitavel', 'classe_correta', 'classe_correta', 'exata', 'aceitavel', 'classe_correta', 'classe_correta', 'classe_correta', 'exata', 'aceitavel', 'classe_correta', 'aceitavel', 'classe_correta', 'classe_correta', 'classe_correta', 'aceitavel', 'classe_correta', 'aceitavel', 'aceitavel', 'grafia_incorreta', 'classe_correta']",5,3,10,12,1,0,77.419
